月份,固定资产投资完成额_累计值,固定资产投资完成额_累计增长,建筑安装工程固定资产投资完成额_累计值,建筑安装工程固定资产投资完成额_累计增长,设备工器具购置固定资产投资完成额_累计值,设备工器具购置固定资产投资完成额_累计增长,其他费用固定资产投资完成额_累计值,其他费用固定资产投资完成额_累计增长,地区
201102,1276.5458,22.1,844.8303,35.6,305.8988,9.1,125.8167,-11.4,山东省
201103,3471.7622,21.2,2234.9487,30.6,844.1772,16.0,392.6363,-7.7,山东省
201104,5629.5015,21.8,3582.5991,30.3,1407.7823,14.9,639.1201,-1.6,山东省
201105,8064.583,22.9,5090.4182,31.4,2053.1067,16.9,921.0581,-1.5,山东省
201106,10858.9398,21.9,6846.9965,30.1,2777.3999,18.1,1234.5434,-4.9,山东省
201107,13589.5367,22.5,8566.3163,30.2,3494.3228,19.3,1528.8976,-3.8,山东省
201108,16295.8286,22.5,10238.633,28.6,4230.6493,22.0,1826.5463,-2.8,山东省
201109,18957.9599,22.2,11895.2213,29.4,4941.9267,19.6,2120.8119,-2.9,山东省
201110,21288.1835,22.2,13330.3785,28.3,5574.7676,20.6,2383.0374,-1.0,山东省
201111,23535.4317,22.1,14702.686,27.2,6231.0273,21.7,2601.7184,-0.1,山东省
201112,25928.4496,21.8,16138.0657,27.2,6900.3182,20.7,2890.0657,0.3,山东省
201201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,山东省
201202,1542.1516,20.8,1012.3661,19.8,356.4793,16.5,173.3062,37.7,山东省
201203,4187.2594,20.6,2692.5924,20.5,986.9197,16.9,507.7473,29.3,山东省
201204,6726.6967,20.2,4327.3516,20.8,1616.1667,14.8,783.1784,22.5,山东省
201205,9613.211,20.1,6149.6663,20.8,2333.1289,13.6,1130.4158,22.7,山东省
201206,12734.4839,20.4,8039.3288,17.4,3137.4732,13.0,1557.6819,28.4,山东省
201207,15899.7702,20.5,10038.1072,17.2,3966.1629,13.5,1895.5001,24.0,山东省
201208,18705.0256,20.4,11808.5483,17.1,4687.2233,10.8,2209.254,21.0,山东省
201209,21647.4909,20.2,13595.1192,20.3,5465.5945,10.6,2586.7772,22.0,山东省
201210,24626.2731,20.3,15515.0499,21.0,6248.4668,12.1,2862.7564,20.1,山东省
201211,27334.4921,20.4,17134.0583,16.5,6998.0056,12.3,3202.4282,23.1,山东省
201212,30319.7648,20.5,18772.0358,16.4,7970.2562,15.5,3577.4728,24.0,山东省
201301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,山东省
201302,1851.9858,20.1,1227.3911,21.2,446.4281,25.2,178.1666,2.8,山东省
201303,4967.7503,20.1,3176.5147,19.5,1242.4763,25.9,548.7593,8.1,山东省
201304,7895.0811,20.0,4992.6232,15.4,1992.9548,23.3,909.5031,16.1,山东省
201305,11291.2041,20.0,7162.6696,19.7,2843.875,21.9,1284.6595,13.6,山东省
201306,15009.7971,20.0,9629.4134,20.5,3686.7374,17.5,1693.6463,8.7,山东省
201307,18792.6478,20.0,12021.1765,20.4,4741.2434,19.5,2030.2279,7.1,山东省
201308,21889.8806,20.1,14081.7323,21.3,5490.9223,17.1,2317.226,4.9,山东省
201309,25092.0529,20.1,16127.8784,21.4,6355.7057,16.3,2608.4688,0.8,山东省
201310,28877.3384,20.1,18597.1454,22.9,7365.6822,17.9,2914.5108,1.8,山东省
201311,32251.5729,19.9,20740.1767,21.0,8305.2485,18.7,3206.1477,0.1,山东省
201312,35875.8558,19.6,22891.3716,21.5,9414.5493,19.7,3569.9349,-1.2,山东省
201401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,山东省
201402,2175.8596,17.7,1503.9613,22.7,496.8463,11.3,175.052,-1.7,山东省
201403,5834.3331,17.5,3907.3054,23.0,1374.8647,10.7,552.163,0.6,山东省
201404,9256.3094,17.2,6190.049,24.0,2188.3392,9.8,877.9212,-3.5,山东省
201405,13236.7664,17.2,8848.8058,23.5,3113.2916,9.5,1274.669,-0.8,山东省
201406,17591.6244,17.2,11735.0932,21.9,4220.463,14.5,1636.0682,-3.4,山东省
201407,21973.2359,16.9,14567.057,21.2,5349.9259,12.8,2056.253,1.3,山东省
201408,25459.032,16.3,16901.1846,20.0,6214.4051,13.2,2343.4423,1.1,山东省
201409,29107.8413,16.0,19322.1331,19.8,7140.8198,12.4,2644.8884,1.4,山东省
201410,33398.8388,15.7,22177.2608,19.3,8222.1679,11.6,2999.4101,2.9,山东省
201411,37268.883,15.6,24507.1807,18.2,9381.2498,13.0,3380.4525,5.4,山东省
201412,41599.1323,15.8,27067.2265,18.3,10718.3366,13.8,3813.5692,6.8,山东省
201501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,山东省
201502,2480.6204,14.0,1730.8017,15.1,558.1823,12.3,191.6364,9.5,山东省
201503,6697.8146,14.8,4591.6399,17.5,1562.4427,13.6,543.732,-1.5,山东省
201504,10627.0453,14.8,7193.7621,16.2,2544.1406,16.3,889.1426,1.3,山东省
201505,15184.3464,14.7,10249.8481,15.8,3639.3623,16.9,1295.136,1.6,山东省
201506,20164.8932,14.6,13533.8155,15.3,4871.9337,15.4,1759.144,7.5,山东省
201507,25182.3568,14.6,16770.79,15.1,6217.6193,16.2,2193.9475,6.7,山东省
201508,29154.008,14.5,19275.463,14.0,7326.4347,17.9,2552.1103,8.9,山东省
201509,33300.2011,14.4,21924.7279,13.5,8527.653,19.4,2847.8202,7.7,山东省
201510,38143.9411,14.2,25035.5054,12.9,9904.7421,20.5,3203.6936,6.8,山东省
