月份,办公楼施工面积_累计值,办公楼施工面积_累计增长,办公楼新开工施工面积_累计值,办公楼新开工施工面积_累计增长,办公楼竣工面积_累计值,办公楼竣工面积_累计增长,地区
200801,0.0,0.0,0.0,0.0,0.0,0.0,北京市
200802,878.56,5.1,41.25,-18.8,28.16,0.0,北京市
200803,974.8,-1.1,54.76,3.3,40.34,0.0,北京市
200804,1079.75,0.3,56.34,-14.5,49.05,0.0,北京市
200805,1109.45,-3.1,74.41,-19.9,56.22,178.7,北京市
200806,1136.67,-5.0,91.39,-21.4,95.49,223.1,北京市
200807,1152.64,-8.1,98.47,-31.1,125.02,185.5,北京市
200808,1183.37,-6.4,126.39,-17.0,144.8,166.7,北京市
200809,1187.25,-8.7,130.41,-27.8,146.99,119.6,北京市
200810,1202.68,-11.4,149.0,-29.3,190.16,140.4,北京市
200811,1219.78,-12.2,158.45,-35.4,207.29,37.1,北京市
200812,1287.18,-5.7,159.75,-39.7,364.6,15.8,北京市
200901,0.0,0.0,0.0,0.0,0.0,0.0,北京市
200902,635.44,-27.7,45.13,9.4,13.37,-52.5,北京市
200903,810.74,-16.8,42.32,-22.7,29.02,-28.1,北京市
200904,848.59,-21.4,53.35,-5.3,34.39,-29.9,北京市
200905,850.1,-23.4,54.35,-27.0,42.58,-24.3,北京市
200906,937.42,-17.5,113.42,24.1,75.88,-20.5,北京市
200907,972.81,-15.6,132.59,34.6,111.46,-10.8,北京市
200908,987.7,-16.5,129.16,2.2,122.85,-15.2,北京市
200909,1010.17,-14.9,147.9,13.4,122.85,-16.4,北京市
200910,1028.59,-14.5,161.97,8.7,142.08,-25.3,北京市
200911,1033.29,-15.3,181.62,14.6,171.26,-17.4,北京市
200912,1132.19,-12.0,255.96,60.2,316.59,-13.2,北京市
201001,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201002,719.52,13.2,19.5,-56.8,27.81,108.0,北京市
201003,853.27,5.2,34.82,-17.7,51.19,76.4,北京市
201004,879.71,3.7,35.74,-33.0,53.51,55.6,北京市
201005,909.75,7.0,62.81,15.6,63.9,50.1,北京市
201006,935.48,-0.2,76.03,-33.0,90.4,19.1,北京市
201007,936.96,-3.7,88.06,-33.6,95.42,-14.4,北京市
201008,956.86,-3.1,112.05,-13.3,102.36,-16.7,北京市
201009,976.0,-3.4,117.2,-20.8,119.93,-2.4,北京市
201010,994.1526,-3.3,140.698,-13.1,127.6793,-10.1,北京市
201011,1005.1054,-2.7,149.1285,-17.9,139.1602,-18.7,北京市
201012,1054.8448,-6.8,203.2909,-20.6,198.4164,-37.3,北京市
201101,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201102,658.7597,-8.4,14.1426,-27.5,36.2293,30.3,北京市
201103,830.1687,-2.7,45.3583,30.3,48.8259,-4.6,北京市
201104,920.6525,4.7,58.6602,64.1,49.3248,-7.8,北京市
201105,1146.0258,26.0,174.7502,178.2,81.1941,27.1,北京市
201106,1202.1197,28.5,256.8383,237.8,86.2543,-4.6,北京市
201107,1216.8211,29.9,288.1766,227.3,92.6212,-2.9,北京市
201108,1254.9618,31.2,309.6135,176.3,101.7632,-0.6,北京市
201109,1278.5194,31.0,325.2202,177.5,124.2804,3.6,北京市
201110,1335.7656,34.4,384.6709,173.4,137.8005,7.9,北京市
201111,1404.3676,39.7,448.3978,200.7,167.9165,20.7,北京市
201112,1422.6636,34.9,489.3992,140.7,245.1682,23.6,北京市
201201,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201202,1008.3776,53.1,29.7967,110.7,10.2268,-71.8,北京市
201203,1069.5785,28.8,58.6865,29.4,22.4434,-54.0,北京市
201204,1168.0141,26.9,67.8414,15.7,23.3819,-52.6,北京市
201205,1248.5944,8.9,130.0029,-25.6,33.1091,-59.2,北京市
201206,1298.3875,8.0,169.0203,-34.2,44.8041,-48.1,北京市
201207,1388.9923,14.1,247.8011,-14.0,58.3147,-37.0,北京市
201208,1447.0588,15.3,297.3864,-3.9,66.2123,-34.9,北京市
201209,1497.9438,17.2,342.4076,5.3,72.5737,-41.6,北京市
201210,1506.6095,12.8,350.5444,-8.9,100.8269,-26.8,北京市
201211,1624.7359,15.7,481.5224,7.4,119.279,-29.0,北京市
201212,1711.859,20.3,536.8188,9.7,226.7874,-7.5,北京市
201301,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201302,1236.1049,22.6,49.3199,65.5,2.623,-74.4,北京市
201303,1353.5756,26.6,127.0761,116.5,3.8754,-82.7,北京市
201304,1406.794,20.4,151.6035,123.5,10.7722,-53.9,北京市
201305,1534.0354,22.9,192.7982,48.3,22.8347,-31.0,北京市
201306,1566.8911,20.7,206.8293,22.4,47.1727,5.3,北京市
201307,1688.6755,21.6,286.1992,15.5,59.2688,1.6,北京市
201308,1731.8395,19.7,320.3939,7.7,90.9146,37.3,北京市
201309,1738.4298,16.1,322.2943,-5.9,118.6909,63.5,北京市
201310,1813.6804,20.4,388.7942,10.9,121.9416,20.9,北京市
201311,1955.1327,20.3,510.3802,6.0,174.899,46.6,北京市
201312,2114.1321,23.5,671.3983,25.1,273.0543,20.4,北京市
201401,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201402,1602.288,29.6,10.729,-78.2,50.1617,0.0,北京市
201403,1959.5378,44.8,101.6844,-20.0,83.825,0.0,北京市
201404,1961.1375,39.4,111.1406,-26.7,97.8925,0.0,北京市
201405,2013.5018,31.3,132.3884,-31.3,130.6772,472.3,北京市
201406,2045.9245,30.6,165.3177,-20.1,143.169,203.5,北京市
201407,2081.6321,23.3,196.4062,-31.4,157.977,166.5,北京市
201408,2076.945,19.9,216.8669,-32.3,166.4554,83.1,北京市
201409,2131.5415,22.6,259.7447,-19.4,193.8738,63.3,北京市
201410,2162.4467,19.2,291.0068,-25.2,217.1958,78.1,北京市
201411,2154.6247,10.2,307.8677,-39.7,274.5792,57.0,北京市
201412,2253.9816,6.6,421.3732,-37.2,387.4545,41.9,北京市
201501,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201502,1834.8325,14.5,33.3131,210.5,61.4043,22.4,北京市
201503,1933.6723,-1.3,91.5735,-9.9,67.7973,-19.1,北京市
201504,1970.9209,0.5,128.839,15.9,77.0439,-21.3,北京市
201505,1975.7329,-1.9,143.7188,8.6,80.1205,-38.7,北京市
201506,2054.023,0.4,217.6456,31.7,102.4248,-28.5,北京市
201507,2097.7299,0.8,258.5577,31.6,115.3363,-27.0,北京市
201508,2114.7317,1.8,283.2307,30.6,134.1009,-19.4,北京市
201509,2208.8071,3.6,380.1048,46.3,139.8832,-27.8,北京市
201510,2266.6566,4.8,449.4374,54.4,210.571,-3.1,北京市
201511,2336.5808,8.4,508.7685,65.3,226.7009,-17.4,北京市
201512,2409.632,6.9,585.5577,39.0,385.3781,-0.5,北京市
201601,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201602,2062.2164,12.4,82.4332,147.4,23.3262,-62.0,北京市
201603,2149.1156,11.1,154.5453,68.8,89.304,31.7,北京市
201604,2178.4569,10.5,184.695,43.4,98.6451,28.0,北京市
201605,2196.9355,11.2,198.4485,38.1,140.0816,74.8,北京市
201606,2255.4067,9.8,256.0545,17.6,155.0719,51.4,北京市
201607,2279.9163,8.7,278.2277,7.6,168.9652,46.5,北京市
201608,2282.198,7.9,299.9866,5.9,171.2069,27.7,北京市
201609,2398.9557,8.6,379.5462,-0.1,207.9334,48.6,北京市
201610,2414.1061,6.5,404.9045,-9.9,218.9247,4.0,北京市
201611,2474.6703,5.9,465.0637,-8.6,217.7014,-4.0,北京市
201612,2447.2563,1.6,464.4054,-20.7,343.7416,-10.8,北京市
201701,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201702,2072.5189,0.5,35.8407,-56.5,33.4279,43.3,北京市
201703,2090.8222,-2.7,43.0431,-72.1,74.3587,-16.7,北京市
201704,2153.2962,-1.2,119.6813,-35.2,74.3587,-24.6,北京市
201705,2151.2865,-2.1,125.9398,-36.5,98.4032,-29.8,北京市
201706,2213.109,-1.9,167.8587,-34.4,110.1129,-29.0,北京市
201707,2288.0545,0.4,227.756,-18.1,133.4179,-21.0,北京市
201708,2297.3454,0.7,237.8637,-20.7,139.4133,-18.6,北京市
201709,2325.1122,-3.1,265.5061,-30.0,141.774,-31.8,北京市
201710,2328.8798,-3.5,272.5372,-32.7,182.0022,-16.9,北京市
201711,2348.9035,-5.1,288.4738,-38.0,206.5308,-5.1,北京市
201712,2428.4022,-0.8,364.6134,-21.5,321.1821,-6.6,北京市
201801,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201802,2004.7115,-3.3,2.0423,-94.3,21.8474,-34.6,北京市
201803,2009.6319,-3.9,4.0725,-90.5,28.5194,-61.6,北京市
201804,2020.5719,-6.2,9.9361,-91.7,28.5194,-61.6,北京市
201805,2052.8891,-4.6,42.2237,-66.5,34.6084,-64.8,北京市
201806,2080.7531,-6.0,73.4619,-56.2,34.8175,-68.4,北京市
201807,2138.1605,-6.6,122.9783,-46.0,52.478,-60.7,北京市
201808,2149.4306,-6.4,124.7003,-47.6,75.5745,-45.8,北京市
201809,2184.8585,-6.0,160.4529,-39.6,101.1548,-28.7,北京市
201810,2222.2658,-4.6,195.1554,-28.4,110.6911,-39.2,北京市
201811,2242.768,-4.5,215.5866,-25.3,137.9202,-33.2,北京市
201812,2220.5166,-8.6,221.3118,-39.3,249.8735,-22.2,北京市
200801,0.0,0.0,0.0,0.0,0.0,0.0,天津市
200802,112.06,29.9,7.72,408.7,2.4,-44.7,天津市
200803,119.81,11.7,7.72,51.5,2.4,-55.8,天津市
200804,142.62,8.5,9.82,57.5,2.4,-56.6,天津市
200805,149.6,-0.7,11.02,-7.6,8.17,0.9,天津市
200806,152.46,-5.7,11.02,-54.2,8.43,4.0,天津市
200807,153.88,-9.5,11.22,-65.3,9.55,0.7,天津市
200808,156.05,-7.8,11.22,-61.0,9.45,-0.4,天津市
200809,162.82,-6.5,18.0,-37.4,19.08,5.8,天津市
200810,166.15,-5.1,20.42,-28.9,19.08,-17.3,天津市
200811,176.72,-5.0,40.45,2.0,19.08,-29.6,天津市
200812,307.37,47.7,141.25,149.8,48.18,-2.7,天津市
200901,0.0,0.0,0.0,0.0,0.0,0.0,天津市
200902,119.35,6.5,4.85,-37.2,0.0,-100.0,天津市
200903,129.01,7.7,3.7,-52.0,0.25,-89.4,天津市
200904,141.38,-0.9,6.27,-36.1,1.84,-23.1,天津市
200905,161.66,8.1,18.65,69.3,3.85,-52.9,天津市
200906,169.9,11.4,22.85,107.5,5.22,-38.1,天津市
200907,182.44,18.6,25.07,123.5,13.41,40.4,天津市
200908,184.52,18.3,28.2,151.3,13.41,42.0,天津市
200909,188.22,15.6,31.51,75.1,13.41,-29.7,天津市
200910,188.22,13.3,31.51,54.3,13.49,-29.3,天津市
200911,189.49,7.2,32.78,-19.0,17.87,-6.4,天津市
200912,348.46,13.4,179.63,27.2,83.67,73.7,天津市
201001,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201002,242.72,-13.0,19.99,312.2,0.85,0.0,天津市
201003,269.79,109.1,20.11,443.0,0.85,233.7,天津市
201004,276.36,95.5,30.88,392.4,0.85,-54.0,天津市
201005,327.46,102.6,134.03,0.0,6.91,79.4,天津市
201006,327.46,92.7,136.95,499.3,11.81,126.2,天津市
201007,327.46,79.5,136.95,446.2,11.81,-11.9,天津市
201008,329.03,78.3,136.95,385.6,11.81,-11.9,天津市
201009,332.61,76.7,140.53,346.0,11.81,-11.9,天津市
201010,332.6058,76.7,140.5303,346.0,11.8097,-12.5,天津市
201011,332.6058,75.5,146.3997,346.6,15.2097,-14.9,天津市
201012,396.6058,13.8,206.7338,15.1,102.4153,22.4,天津市
201101,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201102,339.8264,40.0,7.9629,-60.2,0.2055,-75.7,天津市
201103,427.7359,58.5,7.9744,-60.3,0.2055,-75.7,天津市
201104,443.2559,60.4,15.6129,-49.4,0.2055,-75.7,天津市
201105,493.7622,50.8,66.1192,-50.7,0.2055,-97.0,天津市
201106,532.7928,62.7,88.6645,-35.3,0.2055,-98.3,天津市
201107,532.7928,62.7,88.6645,-35.3,0.217,-98.2,天津市
201108,533.5684,62.2,88.653,-35.3,0.217,-98.2,天津市
201109,539.9157,62.3,88.6533,-36.9,5.2477,-55.6,天津市
201110,539.9157,62.3,88.6533,-36.9,5.2477,-55.6,天津市
201111,553.5763,66.4,92.3139,-36.9,5.4277,-64.3,天津市
201112,687.8846,73.4,278.2596,34.6,146.716,43.3,天津市
201201,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201202,547.7988,61.2,4.6542,-41.6,0.0,0.0,天津市
201203,531.8845,24.3,30.9678,288.3,2.5188,0.0,天津市
201204,561.5325,26.7,31.6777,102.9,19.4603,0.0,天津市
201205,579.745,17.4,33.7031,-49.0,19.4603,0.0,天津市
201206,632.3981,18.7,46.9422,-47.1,19.4603,0.0,天津市
201207,674.8007,26.7,46.7499,-47.3,19.6943,0.0,天津市
201208,678.5607,27.2,50.4499,-43.1,19.6943,0.0,天津市
201209,688.3634,27.5,51.8898,-41.5,26.1046,397.4,天津市
201210,688.3634,27.5,51.8898,-41.5,26.1046,397.4,天津市
201211,718.0879,29.7,81.6143,-11.6,26.1046,381.0,天津市
201212,792.3966,9.6,231.0154,-3.9,166.8026,16.2,天津市
201301,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201302,699.7575,27.7,11.3434,143.7,0.0,0.0,天津市
201303,683.3751,28.5,11.3964,-63.2,5.0544,100.7,天津市
201304,679.4611,21.0,11.4703,-63.8,6.9054,-64.5,天津市
201305,722.3884,24.6,31.6787,-6.0,11.1054,-42.9,天津市
201306,715.4105,13.1,38.7376,-17.5,11.1054,-42.9,天津市
201307,745.3184,10.5,38.7376,-17.1,15.5365,-21.1,天津市
201308,746.4502,10.0,38.7376,-23.2,16.6683,-15.4,天津市
201309,758.5929,10.2,45.0294,-13.2,16.6683,-36.1,天津市
201310,758.5929,10.2,60.7533,17.1,17.0926,-34.5,天津市
201311,764.7839,6.5,66.9443,-18.0,20.9956,-19.6,天津市
201312,841.0005,6.1,173.8386,-24.8,188.5922,13.1,天津市
201401,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201402,675.0497,-3.5,5.5075,-51.4,8.0773,0.0,天津市
201403,675.0497,-1.2,5.5075,-51.7,8.0773,59.8,天津市
201404,735.2129,8.2,12.1005,5.5,8.0773,17.0,天津市
201405,742.0843,2.7,19.8187,-37.4,8.0773,-27.3,天津市
201406,743.9787,4.0,21.7131,-43.9,12.1099,9.0,天津市
201407,755.9717,1.4,32.6548,-15.7,12.1099,-22.1,天津市
201408,753.9522,1.0,32.6548,-15.7,12.1178,-27.3,天津市
201409,789.3863,4.1,54.8352,21.8,12.1178,-27.3,天津市
201410,791.2207,4.3,56.6977,-6.7,12.1178,-29.1,天津市
201411,862.0343,12.7,72.1097,7.7,12.1178,-42.3,天津市
201412,864.6379,2.8,132.3764,-23.9,117.1517,-37.9,天津市
201501,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201502,733.9323,8.7,9.4426,71.4,6.0922,-24.6,天津市
201503,727.8041,7.8,9.4426,71.4,8.9045,10.2,天津市
201504,729.8396,-0.7,11.4781,-5.1,9.0173,11.6,天津市
201505,740.1242,-0.3,18.6153,-6.1,9.0173,11.6,天津市
201506,751.2413,1.0,29.7324,36.9,13.1508,8.6,天津市
201507,796.7242,5.4,43.349,32.7,15.2121,25.6,天津市
201508,813.4853,7.9,61.968,89.8,15.2121,25.5,天津市
201509,819.7541,3.8,64.3352,17.3,15.2121,25.5,天津市
201510,821.2057,3.8,62.6352,10.5,20.4953,69.1,天津市
201511,838.1043,-2.8,74.922,3.9,20.4953,69.1,天津市
201512,872.4054,0.9,210.6342,59.1,171.1832,46.1,天津市
201601,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201602,628.3233,-14.4,0.2889,-96.9,10.2295,67.9,天津市
201603,675.8604,-7.1,6.4862,-31.3,10.2295,14.9,天津市
201604,685.5441,-6.1,16.1699,40.9,15.1102,67.6,天津市
201605,685.6856,-7.4,16.3114,-12.4,15.1102,67.6,天津市
201606,679.9631,-9.5,20.9345,-29.6,15.1102,14.9,天津市
201607,703.9026,-11.7,31.2584,-27.9,15.1102,-0.7,天津市
201608,703.9026,-13.5,31.2584,-49.6,15.1102,-0.7,天津市
201609,704.1555,-14.1,31.5113,-51.0,15.1102,-0.7,天津市
201610,704.6422,-14.2,31.998,-48.9,15.1102,-26.3,天津市
201611,713.257,-14.9,40.6835,-45.7,76.803,274.7,天津市
201612,723.3214,-17.1,41.4772,-80.3,143.2229,-16.3,天津市
201701,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201702,568.2918,-9.6,16.7917,0.0,0.0,0.0,天津市
201703,599.1306,-11.4,38.5964,495.1,2.4948,-75.6,天津市
201704,606.0074,-11.6,46.5146,187.7,2.4948,-83.5,天津市
201705,604.6321,-11.8,34.9543,114.3,2.4948,-83.5,天津市
201706,621.8318,-8.5,49.154,134.8,2.4948,-83.5,天津市
201707,627.8773,-10.8,54.8547,75.5,2.4948,-83.5,天津市
201708,628.0773,-10.8,55.0547,76.1,2.4948,-83.5,天津市
201709,628.0773,-10.8,55.0547,74.7,36.982,144.7,天津市
201710,648.7968,-7.9,55.0547,72.1,55.8347,269.5,天津市
201711,647.5126,-9.2,55.0547,35.3,66.3076,-13.7,天津市
201712,693.8326,-4.1,67.4852,62.7,138.6449,-3.2,天津市
201801,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201802,551.4049,-3.0,4.3725,-74.0,3.2847,0.0,天津市
201803,551.3118,-8.0,4.3725,-88.7,3.2847,31.7,天津市
201804,552.3832,-8.8,7.2764,-84.4,10.9713,339.8,天津市
201805,559.7942,-7.4,14.6874,-58.0,10.9713,339.8,天津市
201806,572.6569,-7.9,20.1251,-59.1,30.328,0.0,天津市
201807,581.1717,-7.4,24.4843,-55.4,30.328,0.0,天津市
201808,580.6854,-7.5,24.4843,-55.5,30.328,0.0,天津市
201809,580.6854,-7.5,24.4843,-55.5,30.328,-18.0,天津市
201810,580.8929,-10.5,24.6918,-55.2,30.328,-45.7,天津市
201811,574.0223,-11.3,24.7118,-55.1,44.6596,-32.6,天津市
201812,623.5535,-10.1,19.6393,-70.9,113.422,-18.2,天津市
200801,0.0,0.0,0.0,0.0,0.0,0.0,河北省
200802,0.75,-37.9,0.03,0.0,0.0,0.0,河北省
200803,12.57,-44.4,3.0,-5.0,1.16,0.0,河北省
200804,20.55,-28.8,4.08,-33.5,1.16,0.0,河北省
200805,29.64,-24.8,4.95,-70.3,1.41,-71.4,河北省
200806,44.1,-3.8,18.16,-15.5,1.9,-61.6,河北省
200807,47.52,-3.4,20.17,-6.1,2.36,-52.2,河北省
200808,50.47,1.6,22.28,1.4,6.85,7.8,河北省
200809,57.93,16.6,26.64,21.2,6.85,7.8,河北省
200810,63.04,22.7,30.54,37.5,6.85,-2.1,河北省
200811,64.32,25.2,31.82,43.2,6.85,-2.1,河北省
200812,77.46,22.8,43.75,59.1,15.49,-31.4,河北省
200901,0.0,0.0,0.0,0.0,0.0,0.0,河北省
200902,7.67,0.0,0.1,300.0,0.0,0.0,河北省
200903,71.38,468.0,27.43,0.0,0.78,-32.7,河北省
200904,94.74,361.1,35.01,0.0,1.27,10.0,河北省
200905,118.13,298.6,35.25,0.0,4.2,197.2,河北省
200906,127.38,188.8,39.42,117.1,4.2,121.3,河北省
200907,137.45,189.2,37.12,84.0,5.12,116.5,河北省
200908,147.51,192.3,42.15,89.2,5.12,-25.3,河北省
200909,159.91,176.0,50.05,87.9,5.12,-25.3,河北省
200910,173.6,175.4,62.88,105.9,7.52,9.9,河北省
200911,189.16,194.1,92.05,189.3,7.78,13.6,河北省
200912,196.99,12.5,97.79,72.3,15.1,-40.5,河北省
201001,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201002,145.39,113.2,3.7,0.0,0.0,0.0,河北省
201003,211.82,196.7,35.4,29.0,0.0,0.0,河北省
201004,224.78,137.3,42.75,22.1,5.4,323.8,河北省
201005,237.58,101.1,51.4,45.8,6.24,48.7,河北省
201006,280.35,120.1,79.94,102.8,8.34,98.6,河北省
201007,287.32,109.0,82.46,122.1,8.51,66.2,河北省
201008,308.02,108.8,97.34,131.0,8.98,75.4,河北省
201009,321.75,101.2,120.86,141.5,11.33,121.5,河北省
201010,339.4321,95.5,133.4083,112.2,12.8585,70.9,河北省
201011,375.8552,98.7,145.6254,58.2,16.3286,110.0,河北省
201012,384.197,94.1,147.4332,49.3,19.6006,47.4,河北省
201101,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201102,258.3006,77.7,27.7995,0.0,1.942,0.0,河北省
201103,341.1925,61.1,86.403,144.1,4.2511,0.0,河北省
201104,358.8182,59.6,107.1731,150.7,10.9031,101.8,河北省
201105,388.1615,63.4,117.3533,128.3,11.8621,89.9,河北省
201106,442.5926,57.9,165.2418,106.7,17.7225,112.4,河北省
201107,465.2793,61.9,181.9284,120.6,18.3057,115.2,河北省
201108,473.0759,53.6,186.0023,91.1,26.1432,191.3,河北省
201109,518.9824,61.3,205.1367,69.7,66.8172,489.5,河北省
201110,537.1512,58.2,228.6124,71.4,72.3506,462.7,河北省
201111,553.4943,47.3,239.4362,64.4,77.5438,374.9,河北省
201112,572.1405,48.8,253.5823,72.0,111.155,206.2,河北省
201201,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201202,455.1317,76.2,4.1099,-85.2,0.0,0.0,河北省
201203,433.2383,27.0,58.1233,-32.7,2.4245,-43.0,河北省
201204,480.8056,34.0,95.7514,-10.7,12.1962,11.9,河北省
201205,533.7728,37.5,121.2291,3.3,27.4962,131.8,河北省
201206,555.1603,25.4,144.0097,-12.8,33.2035,87.4,河北省
201207,565.0339,21.4,149.8557,-17.6,41.6335,127.4,河北省
201208,569.1026,20.3,155.9961,-16.1,44.5145,70.3,河北省
201209,584.4122,12.6,164.5483,-19.8,52.9817,-20.7,河北省
201210,590.3494,9.9,170.377,-25.5,55.4207,-23.4,河北省
201211,614.5976,11.0,190.139,-20.6,67.1649,-13.4,河北省
201212,598.7863,5.0,187.6132,-23.8,94.5294,-14.8,河北省
201301,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201302,455.4466,0.1,8.4477,105.5,13.424,0.0,河北省
201303,477.47,10.2,32.8286,-43.5,16.2619,0.0,河北省
201304,485.1974,0.9,41.9698,-56.2,18.3355,50.3,河北省
201305,489.2837,-8.3,45.403,-62.5,20.8015,-24.3,河北省
201306,527.2838,-5.0,66.0413,-54.1,26.6153,-19.8,河北省
201307,553.6323,-2.0,94.4249,-37.0,30.2451,-27.4,河北省
201308,587.9646,3.3,110.186,-29.4,32.9551,-26.0,河北省
201309,595.199,1.8,117.4852,-28.6,38.6707,-27.0,河北省
201310,605.3488,2.5,125.18,-26.5,43.7162,-21.1,河北省
201311,623.7467,1.5,138.1592,-27.3,53.8884,-19.8,河北省
201312,659.3431,10.1,172.0186,-8.3,158.2367,67.4,河北省
201401,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201402,385.5155,-15.4,0.49,-94.2,0.285,-97.9,河北省
201403,387.6416,-18.8,2.228,-93.2,3.0743,-81.1,河北省
201404,402.0334,-17.1,17.1071,-59.2,3.4127,-81.4,河北省
201405,467.5054,-4.5,32.3752,-28.7,3.4127,-83.6,河北省
201406,507.616,-3.7,44.8341,-32.1,9.307,-65.0,河北省
201407,556.4416,0.5,73.0285,-22.7,9.5907,-68.3,河北省
201408,607.5554,3.3,104.4931,-5.2,10.1285,-69.3,河北省
201409,624.8329,5.0,115.3519,-1.8,26.8182,-30.6,河北省
201410,636.9317,5.2,131.2118,4.8,38.0877,-12.9,河北省
201411,664.4316,6.5,156.6735,13.4,51.3846,-4.6,河北省
201412,676.7929,2.6,160.4108,-6.7,63.1328,-60.1,河北省
201501,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201502,444.3498,15.3,2.6348,437.7,0.4651,63.2,河北省
201503,485.6432,25.3,11.8109,430.1,10.5787,244.1,河北省
201504,492.7489,22.6,18.8396,10.1,10.5787,210.0,河北省
201505,495.9958,6.1,21.4167,-33.8,13.7784,303.7,河北省
201506,494.9404,-2.5,38.9849,-13.0,18.5121,98.9,河北省
201507,515.8523,-7.3,60.8968,-16.6,49.8121,419.4,河北省
201508,531.4244,-12.5,75.6655,-27.6,50.7096,400.7,河北省
201509,546.274,-12.6,91.6293,-20.6,51.588,92.4,河北省
201510,588.9231,-7.5,134.7536,2.7,51.588,35.4,河北省
201511,611.5184,-8.0,157.5238,0.5,68.6715,33.6,河北省
201512,641.4525,-5.2,186.3999,16.2,90.0019,42.6,河北省
201601,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201602,499.6836,12.5,40.1429,0.0,1.7286,271.7,河北省
201603,537.6933,10.7,76.5653,0.0,4.4286,-58.1,河北省
201604,558.5788,13.4,97.5347,417.7,2.5388,-76.0,河北省
201605,592.1753,19.4,130.8325,0.0,2.374,-82.8,河北省
201606,653.302,32.0,190.9155,389.7,9.6922,-47.6,河北省
201607,679.2862,31.7,216.8092,256.0,9.6922,-80.5,河北省
201608,793.8296,49.4,256.4238,238.9,12.6341,-75.1,河北省
201609,827.4081,51.5,302.4281,230.1,15.473,-70.0,河北省
201610,843.284,43.2,318.6873,136.5,33.1123,-35.8,河北省
201611,850.1014,39.0,325.5047,106.6,52.1066,-24.1,河北省
201612,858.6887,33.9,342.2285,83.6,101.6673,13.0,河北省
201701,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201702,703.188,40.7,6.4607,-83.9,0.4205,-75.7,河北省
201703,713.4327,32.7,18.4454,-75.9,3.8725,-12.6,河北省
201704,728.2381,30.4,33.2509,-65.9,6.8245,168.8,河北省
201705,773.8291,30.7,85.601,-34.6,7.4584,214.2,河北省
201706,774.91,18.6,77.7709,-59.3,9.0058,-7.1,河北省
201707,779.6251,14.8,81.5702,-62.4,10.5461,8.8,河北省
201708,783.6943,-1.3,85.6394,-66.6,10.5744,-16.3,河北省
201709,808.0615,-2.3,110.0066,-63.6,17.7744,14.9,河北省
201710,823.3204,-2.4,117.1655,-63.2,28.5144,-13.9,河北省
201711,831.9955,-2.1,124.5757,-61.7,39.5201,-24.2,河北省
201712,829.7482,-3.4,142.5087,-58.4,84.4058,-17.0,河北省
201801,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201802,547.1343,-22.2,6.2927,-2.6,3.5068,0.0,河北省
201803,557.4329,-21.9,14.9441,-19.0,7.7418,99.9,河北省
201804,577.9163,-20.6,35.4855,6.7,7.9418,16.4,河北省
201805,584.9977,-24.4,42.5689,-50.3,7.985,7.1,河北省
201806,613.6581,-20.8,69.8294,-10.2,8.0339,-10.8,河北省
201807,627.2442,-19.5,83.5586,2.4,9.3782,-11.1,河北省
201808,636.7448,-18.8,93.0597,8.7,25.9178,145.1,河北省
201809,642.7144,-20.5,99.0293,-10.0,26.0498,46.6,河北省
201810,664.6789,-19.3,121.3272,3.6,26.1749,-8.2,河北省
201811,679.4966,-18.3,136.0819,9.2,27.1754,-31.2,河北省
201812,690.0594,-16.8,157.7512,10.7,42.1111,-50.1,河北省
200801,0.0,0.0,0.0,0.0,0.0,0.0,山西省
200802,21.78,-29.2,3.7,0.0,0.0,0.0,山西省
200803,47.58,-14.1,8.2,307.4,0.78,160.7,山西省
200804,58.19,-16.2,10.7,285.7,0.78,-41.9,山西省
200805,63.06,-24.4,11.8,307.7,0.82,-42.6,山西省
200806,68.5,-23.9,13.68,242.0,0.82,-43.8,山西省
200807,70.16,-24.1,14.9,195.4,2.37,1.4,山西省
200808,70.65,-25.6,15.63,128.1,2.71,15.8,山西省
