月份,商品住宅施工面积_累计值,商品住宅施工面积_累计增长,商品住宅新开工施工面积_累计值,商品住宅新开工施工面积_累计增长,商品住宅竣工面积_累计值,商品住宅竣工面积_累计增长,地区
201505,5469.0156,-10.4,383.7989,-16.9,360.7885,17.7,北京市
201506,5632.6281,-10.4,495.6938,-19.8,398.1501,12.9,北京市
201507,5799.6478,-9.9,655.7645,-17.5,416.913,-3.1,北京市
201508,5820.1455,-10.7,685.9756,-17.1,469.7465,-2.3,北京市
201509,5859.1517,-11.2,738.053,-17.2,575.1078,-0.9,北京市
201510,5956.4007,-12.3,825.9727,-23.1,759.0236,6.2,北京市
201511,6119.3733,-10.6,933.1343,-16.6,920.3464,-3.5,北京市
201512,6261.2115,-10.3,1158.1726,-9.7,1378.2203,-23.6,北京市
201601,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201602,4783.5824,-3.3,101.5822,31.6,98.5226,37.2,北京市
201603,4812.6918,-7.7,145.812,-23.5,204.5251,-8.9,北京市
201604,5018.5598,-5.5,249.7739,-0.1,260.2042,2.4,北京市
201605,5193.1658,-5.0,444.3249,15.8,316.4808,-12.3,北京市
201606,5244.0959,-6.9,532.9938,7.5,469.9096,18.0,北京市
201607,5313.1576,-8.4,593.3523,-9.5,509.1984,22.1,北京市
201608,5440.965,-6.5,719.6565,4.9,520.1348,10.7,北京市
201609,5519.4713,-5.8,819.643,11.1,607.6416,5.7,北京市
201610,5701.5637,-4.3,979.242,18.6,705.0493,-7.1,北京市
201611,5776.4403,-5.6,1058.4713,13.4,786.8299,-14.5,北京市
201612,5857.6083,-6.4,1199.4306,3.6,1267.0649,-8.1,北京市
201701,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201702,4320.43,-9.7,88.824,-12.6,65.3325,-33.7,北京市
201703,4403.0868,-8.5,150.0359,2.9,96.3409,-52.9,北京市
201704,4492.5245,-10.5,247.3849,-1.0,135.3072,-48.0,北京市
201705,4480.7622,-13.7,282.4967,-36.4,169.2518,-46.5,北京市
201706,4697.5929,-10.4,439.7553,-17.5,209.9039,-55.3,北京市
201707,4720.0741,-11.2,483.9848,-18.4,237.8991,-53.3,北京市
201708,4782.1369,-12.1,555.7531,-22.8,257.558,-50.5,北京市
201709,4803.4877,-13.0,590.765,-27.9,278.3857,-54.2,北京市
201710,4923.3142,-13.6,709.1413,-27.6,319.237,-54.7,北京市
201711,5222.9054,-9.6,1009.1047,-4.7,350.7413,-55.4,北京市
201712,5390.8905,-8.0,1159.6428,-3.3,604.0373,-52.3,北京市
201801,0.0,0.0,0.0,0.0,0.0,0.0,北京市
201802,4624.4477,7.0,60.6483,-31.7,65.5764,0.4,北京市
201803,4705.7604,6.9,105.8753,-29.4,85.8275,-10.9,北京市
201804,4830.4124,7.5,180.3894,-27.1,165.0752,22.0,北京市
201805,4944.9971,10.4,334.2947,18.3,157.3289,-7.0,北京市
201806,5107.4297,8.7,507.3461,15.4,173.0359,-17.6,北京市
201807,5201.1353,10.2,588.1548,21.5,212.1009,-10.8,北京市
201808,5268.9327,10.2,657.717,18.3,221.5908,-14.0,北京市
201809,5419.3592,12.8,801.9894,35.8,257.6858,-7.4,北京市
201810,5541.5593,12.6,909.4613,28.2,283.3475,-11.2,北京市
201811,5689.4221,8.9,1057.3913,4.8,401.7033,14.5,北京市
201812,5877.0607,9.0,1233.5832,6.4,731.2013,21.1,北京市
200801,0.0,0.0,0.0,0.0,0.0,0.0,天津市
200802,1338.71,18.8,159.7,-34.7,30.39,18.3,天津市
200803,1730.38,3.3,269.09,-25.8,100.09,1.5,天津市
200804,1974.54,1.9,411.64,-12.5,151.02,-5.8,天津市
200805,2279.5,9.0,617.12,8.1,202.4,7.4,天津市
200806,2502.62,13.0,709.52,10.5,321.39,-6.5,天津市
200807,2577.13,12.0,749.55,12.0,344.21,-15.8,天津市
200808,2706.7,16.8,793.39,16.8,369.3,-12.6,天津市
200809,2805.23,14.8,883.01,18.6,448.03,-8.0,天津市
200810,2925.05,0.5,890.22,9.7,498.14,-3.1,天津市
200811,3055.5,0.8,1044.33,10.3,622.06,-3.3,天津市
200812,4306.33,15.0,1889.22,17.2,1462.39,4.6,天津市
200901,0.0,0.0,0.0,0.0,0.0,0.0,天津市
200902,1365.7,2.0,172.58,8.1,36.69,20.7,天津市
200903,1815.31,4.9,300.37,11.6,108.97,8.9,天津市
200904,2142.25,8.5,465.82,13.2,147.98,-2.0,天津市
200905,2435.83,6.9,628.77,1.9,203.93,0.8,天津市
200906,2616.43,4.5,697.39,-1.7,351.34,9.3,天津市
200907,2739.77,6.3,745.15,-0.6,349.86,1.6,天津市
200908,2837.37,4.8,736.35,-7.2,363.84,-1.5,天津市
200909,3008.94,7.3,832.33,-5.7,442.7,-1.2,天津市
200910,3096.98,5.9,890.13,0.0,489.71,-1.7,天津市
200911,3141.5,2.8,946.53,-9.4,598.3,-3.8,天津市
200912,4517.83,4.9,1904.46,0.8,1580.82,5.9,天津市
201001,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201002,3035.66,12.4,163.56,-5.2,26.01,-29.1,天津市
201003,3156.6,73.9,298.14,-0.7,96.66,-11.3,天津市
201004,3215.61,50.1,383.29,-17.7,117.66,-20.5,天津市
201005,3249.08,33.4,421.61,-32.9,169.3,-17.0,天津市
201006,3356.87,28.3,481.32,-31.0,319.19,-9.1,天津市
201007,3409.46,24.4,523.52,-29.7,334.97,-4.3,天津市
201008,3522.39,24.1,559.68,-24.0,334.97,-7.9,天津市
201009,3624.75,20.5,652.08,-21.7,441.32,-0.3,天津市
201010,3678.861,18.8,696.4281,-21.8,465.7479,-4.9,天津市
201011,3822.6303,21.7,771.9987,-18.4,570.9856,-4.6,天津市
201012,5117.5961,13.3,2026.8934,6.4,1603.6455,1.4,天津市
201101,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201102,3550.3658,17.0,156.3232,-4.4,33.0306,27.0,天津市
201103,4046.3518,28.2,355.7153,19.3,122.0002,26.2,天津市
201104,4283.5757,33.2,469.551,22.5,166.6398,41.6,天津市
201105,4465.7139,37.4,586.4469,39.1,182.015,7.5,天津市
201106,4693.8995,39.8,687.164,42.8,337.4628,5.7,天津市
201107,4759.7932,39.6,734.0905,40.2,355.798,6.2,天津市
201108,4795.605,36.1,762.0887,36.2,380.4495,13.6,天津市
201109,4923.7119,35.8,863.4553,32.4,452.8237,2.6,天津市
201110,5066.5212,37.7,937.0872,34.6,481.5806,3.4,天津市
201111,5214.393,36.4,1043.935,35.2,591.4721,3.6,天津市
201112,6435.7902,25.8,2374.2943,17.1,1641.68,2.4,天津市
201201,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201202,4772.1053,34.4,141.251,-9.6,33.3532,1.0,天津市
201203,4176.6802,3.2,317.3231,-10.8,137.8642,13.0,天津市
201204,4269.7129,-0.3,493.73,5.1,201.5217,20.9,天津市
201205,4550.2371,1.9,619.2725,5.6,215.3799,18.3,天津市
201206,4997.2294,6.5,756.7566,10.1,318.6906,-5.6,天津市
201207,5222.6725,9.7,839.1341,14.3,352.5356,-0.9,天津市
201208,5267.012,9.8,879.1381,15.4,360.3887,-5.3,天津市
201209,5423.1654,10.1,905.5742,4.9,406.4646,-10.2,天津市
201210,5503.9677,8.6,959.2891,2.4,433.1319,-10.1,天津市
201211,5610.6937,7.6,1026.984,-1.6,607.2751,2.7,天津市
201212,6923.5199,4.5,1764.7557,-26.5,1913.9656,16.3,天津市
201301,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201302,4757.699,-0.3,241.3558,70.9,50.7804,52.3,天津市
201303,5809.5315,39.1,449.789,41.7,98.7107,-28.4,天津市
201304,6323.2215,48.1,536.6654,8.7,204.0384,1.2,天津市
201305,6485.1745,42.5,629.6812,1.7,212.7441,-1.2,天津市
201306,6700.6766,34.1,702.054,-7.2,336.3191,5.5,天津市
201307,6711.0178,28.5,748.1067,-10.8,345.0182,-2.1,天津市
201308,6853.3111,30.1,844.793,-3.9,374.9281,4.0,天津市
201309,7037.6899,29.8,919.1562,1.5,398.3397,-2.0,天津市
201310,7085.1894,28.7,963.887,0.5,432.2723,-0.2,天津市
201311,7337.0742,30.8,1001.5252,-2.5,494.2382,-18.6,天津市
201312,7562.4831,9.2,1744.849,-1.1,2117.6645,10.6,天津市
201401,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201402,5404.5792,13.6,61.9684,-74.3,175.2524,245.1,天津市
201403,5651.0175,-2.7,162.8998,-63.8,230.4775,133.5,天津市
201404,5912.0485,-6.5,259.9267,-51.6,292.2172,43.2,天津市
201405,6077.0152,-6.3,346.4633,-45.0,344.7234,62.0,天津市
201406,6349.5271,-5.2,487.2109,-30.6,409.9946,21.9,天津市
201407,6390.3017,-4.8,595.0596,-20.5,453.0538,31.3,天津市
201408,6517.658,-4.9,780.9429,-7.6,509.6056,35.9,天津市
201409,6633.1826,-5.7,883.6163,-3.9,535.547,34.4,天津市
201410,6821.2661,-3.7,1090.1962,13.1,568.4234,31.5,天津市
201411,6945.8291,-5.3,1235.0054,23.3,702.8949,42.2,天津市
201412,7204.4627,-4.7,1986.5621,13.9,2130.2486,0.6,天津市
201501,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201502,5315.449,-1.6,126.9149,104.8,109.224,-37.7,天津市
201503,5512.2181,-2.5,203.4077,24.9,161.2983,-30.0,天津市
201504,5611.25,-5.1,309.6956,19.1,235.4093,-19.4,天津市
201505,5791.1671,-4.7,441.3556,27.4,300.6199,-12.8,天津市
201506,5935.3737,-6.5,573.1248,17.6,413.1982,0.8,天津市
201507,6033.1326,-5.6,669.8443,12.6,474.5058,4.7,天津市
201508,6221.9455,-4.5,850.0343,8.8,530.8108,4.2,天津市
201509,6377.9735,-3.8,958.7123,8.5,574.4878,7.3,天津市
201510,6602.188,-3.2,1145.579,5.1,649.8956,14.3,天津市
201511,6688.3518,-3.7,1222.0753,-1.0,723.0527,2.9,天津市
201512,6968.7469,-3.3,1966.8542,-1.0,2182.9862,2.5,天津市
201601,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201602,4234.1482,-20.3,160.1246,26.2,85.537,-21.7,天津市
201603,4733.4005,-14.1,462.154,127.2,105.7801,-34.4,天津市
201604,4887.1407,-12.9,620.3273,100.3,107.7801,-54.2,天津市
201605,5062.7574,-12.6,808.4298,83.2,162.7363,-45.9,天津市
201606,5226.6271,-11.9,1022.2004,78.4,180.3389,-56.4,天津市
201607,5478.2105,-9.2,1231.1921,83.8,255.6748,-46.1,天津市
201608,5532.5111,-11.1,1285.4927,51.2,271.2306,-48.9,天津市
201609,5618.0724,-11.9,1397.9416,45.8,291.3072,-49.3,天津市
201610,5898.518,-10.7,1589.9331,38.8,343.7829,-47.1,天津市
201611,6137.8991,-8.2,1781.7055,45.8,1527.8628,111.3,天津市
201612,6311.7038,-9.4,1943.3948,-1.2,2189.1368,0.3,天津市
201701,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201702,3905.224,-7.8,150.4534,-6.0,47.1492,-44.9,天津市
201703,4283.0899,-9.5,430.8201,-6.8,43.795,-58.6,天津市
201704,4404.4236,-9.9,562.0641,-9.4,76.64,-28.9,天津市
201705,4667.7763,-7.8,809.9613,0.2,94.9054,-41.7,天津市
201706,4957.1216,-5.2,1096.4958,7.3,109.9573,-39.0,天津市
201707,5107.8756,-6.8,1244.009,1.0,140.7324,-45.0,天津市
201708,5230.2379,-5.5,1365.0722,6.2,173.6859,-36.0,天津市
201709,5414.0288,-3.6,1542.3923,10.3,182.02,-37.5,天津市
201710,5500.4638,-6.7,1627.1204,2.3,267.6975,-22.1,天津市
201711,5634.3731,-8.2,1735.4732,-2.6,317.4039,-79.2,天津市
201712,5911.0301,-6.3,1822.7181,-6.2,1433.2373,-34.5,天津市
201801,0.0,0.0,0.0,0.0,0.0,0.0,天津市
201802,4526.3308,15.9,225.6437,50.0,17.5043,-62.9,天津市
201803,4835.0158,12.9,454.75,5.6,48.3511,10.4,天津市
201804,5118.9935,16.2,707.9071,25.9,69.4985,-9.3,天津市
201805,5458.1463,16.9,901.1732,11.3,108.5771,14.4,天津市
201806,5729.2109,15.6,1169.5261,6.7,152.7,38.9,天津市
201807,5932.9977,16.2,1370.2056,10.1,157.7269,12.1,天津市
201808,6141.9794,17.4,1561.011,14.4,194.0456,11.7,天津市
201809,6338.7251,17.1,1753.865,13.7,233.6894,28.4,天津市
201810,6486.6902,17.9,1895.6633,16.5,295.7207,10.5,天津市
201811,6607.2699,17.3,2079.1888,19.8,447.224,40.9,天津市
201812,7151.195,21.0,1862.9317,2.2,1522.2749,6.2,天津市
200801,0.0,0.0,0.0,0.0,0.0,0.0,河北省
200802,816.79,53.5,111.89,1.8,85.63,197.5,河北省
200803,2950.21,38.4,815.82,58.9,140.63,-4.1,河北省
200804,3893.05,42.0,1141.06,52.6,187.03,-11.3,河北省
200805,4542.35,44.5,1449.82,38.8,229.92,-13.2,河北省
200806,5215.83,49.7,1848.49,48.4,323.29,4.5,河北省
200807,5506.27,43.1,2101.63,44.2,355.86,-6.5,河北省
200808,5744.16,42.2,2235.5,38.4,386.05,-10.7,河北省
200809,6086.46,39.5,2463.97,33.2,455.42,-4.1,河北省
200810,6290.13,38.3,2621.25,33.6,529.59,-1.8,河北省
200811,6586.87,36.0,2775.28,23.9,620.15,2.0,河北省
200812,6915.61,33.6,2957.91,16.6,1000.76,-17.2,河北省
200901,0.0,0.0,0.0,0.0,0.0,0.0,河北省
200902,1200.07,46.9,132.18,18.1,36.71,-57.1,河北省
200903,4321.02,46.5,865.93,6.1,188.59,34.1,河北省
200904,5361.71,37.7,1201.62,5.3,257.19,37.5,河北省
200905,6199.65,36.5,1553.33,7.1,342.66,49.0,河北省
200906,7540.45,44.6,2301.95,24.5,466.7,44.4,河北省
200907,7926.09,43.9,2547.84,21.2,574.02,61.3,河北省
200908,8419.63,46.6,2815.68,26.0,645.41,67.2,河北省
200909,9384.06,54.2,3480.11,41.2,790.5,73.6,河北省
200910,9978.1,58.6,3900.61,48.8,925.31,74.7,河北省
200911,10493.93,59.3,5438.29,96.0,1071.5,72.8,河北省
200912,10907.15,40.6,5832.29,75.7,1639.44,9.2,河北省
201001,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201002,7805.24,32.1,62.33,-52.8,24.18,-34.1,河北省
201003,9018.77,108.7,1220.13,40.9,195.3,3.6,河北省
201004,10064.73,87.7,1997.74,66.3,369.43,43.6,河北省
201005,11095.55,79.0,2926.74,88.4,547.31,59.7,河北省
201006,12512.48,65.9,3970.28,72.5,886.56,90.0,河北省
201007,13143.53,65.8,4510.18,77.0,1043.88,81.9,河北省
201008,13873.6,64.8,5197.47,84.6,1124.48,74.2,河北省
201009,15004.11,59.9,6215.36,78.6,1359.3,72.0,河北省
201010,16163.6026,62.0,6923.9048,77.5,1579.3011,70.7,河北省
201011,16740.7287,59.5,7424.4425,36.5,1769.7487,65.2,河北省
201012,17274.4544,58.9,7857.5451,36.1,2650.997,36.7,河北省
201101,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201102,10677.2049,36.8,358.866,475.7,84.6396,250.1,河北省
201103,13134.6126,45.6,1590.2312,30.3,449.3731,130.1,河北省
201104,14108.0532,40.2,2446.2631,22.5,762.9074,106.5,河北省
201105,15486.7265,39.6,3315.8714,13.3,982.9497,79.6,河北省
201106,16934.3442,35.3,4832.7748,21.7,1381.4316,55.8,河北省
201107,17837.681,35.7,5582.8084,23.8,1585.1712,51.9,河北省
201108,18586.6752,34.0,6277.8818,20.8,1779.987,58.3,河北省
201109,19340.2042,28.9,6984.3889,12.4,2018.0624,48.5,河北省
201110,19878.4894,23.0,7575.3602,9.4,2393.5951,51.6,河北省
201111,20951.926,25.2,8481.7925,14.2,2934.4607,65.8,河北省
201112,21483.0298,25.2,9017.5175,14.6,4250.3719,35.8,河北省
201201,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201202,15849.8629,48.4,239.1411,-33.4,143.1168,69.1,河北省
201203,15403.6331,17.3,1372.2308,-13.7,552.26,22.9,河北省
201204,16930.0613,20.0,1929.1838,-21.1,743.3,-2.6,河北省
201205,17706.7678,14.3,2472.4367,-25.4,884.5334,-10.0,河北省
201206,18590.7933,9.8,3235.3826,-33.1,1153.6053,-16.5,河北省
201207,18954.0006,6.3,3567.5064,-36.1,1365.9385,-13.8,河北省
201208,19740.2596,6.2,4215.9166,-32.8,1688.0978,-5.2,河北省
201209,20479.2306,5.9,4799.6764,-31.3,2053.6639,1.8,河北省
201210,20925.316,5.3,5079.3606,-32.9,2448.0993,2.3,河北省
201211,21451.0082,2.4,5602.2169,-34.0,2932.8963,-0.1,河北省
201212,21895.9526,2.7,5983.7758,-33.0,3978.095,-6.9,河北省
201301,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201302,17661.3231,11.4,321.2542,34.3,301.3497,110.6,河北省
201303,18214.8027,18.3,904.6652,-34.1,544.9456,-1.3,河北省
201304,18937.4038,11.9,1378.9498,-28.5,812.3706,9.3,河北省
201305,19637.2848,10.9,1985.1608,-19.7,1027.8138,16.2,河北省
201306,20285.3992,9.1,2559.463,-20.9,1249.35,8.3,河北省
201307,20764.6096,9.6,2977.5509,-16.5,1493.9948,9.4,河北省
201308,21219.9617,7.5,3342.8256,-20.7,1679.7971,-0.5,河北省
201309,21904.6251,7.0,3960.7729,-17.5,1907.5374,-7.1,河北省
201310,22482.7739,7.4,4438.1247,-12.6,2174.0353,-11.2,河北省
201311,23171.1394,8.0,5024.9264,-10.3,2438.4138,-16.9,河北省
201312,23558.2606,7.6,5445.769,-9.0,3517.7952,-11.6,河北省
201401,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201402,16359.9384,-7.4,424.4378,32.1,176.771,-41.3,河北省
201403,17106.3695,-6.1,759.6701,-16.0,389.8993,-28.5,河北省
201404,17652.6675,-6.8,1195.3152,-13.3,488.9518,-39.8,河北省
201405,18741.5994,-4.6,1783.9321,-10.1,656.4462,-36.1,河北省
201406,19684.9546,-3.0,2540.9132,-0.7,848.1715,-32.1,河北省
201407,20798.743,0.2,3408.9677,14.5,1032.0505,-30.9,河北省
201408,21471.579,1.2,3815.646,14.1,1268.0725,-24.5,河北省
201409,22412.2445,2.3,4593.5442,16.0,1573.624,-17.5,河北省
201410,23282.6563,3.6,5165.42,16.4,1760.3391,-19.0,河北省
201411,23961.4369,3.4,5855.341,16.5,2214.6615,-9.2,河北省
201412,24456.1488,3.8,6361.4176,16.8,3195.1105,-9.2,河北省
201501,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201502,17053.6324,4.2,222.4197,-47.6,326.9236,84.9,河北省
201503,17781.2227,3.9,771.0412,1.5,527.9795,35.4,河北省
201504,18196.7769,3.1,1224.7789,2.5,592.5714,21.2,河北省
201505,18708.2358,-0.2,1722.4569,-3.4,692.1573,5.4,河北省
201506,19339.3489,-1.8,2345.5917,-7.7,889.1863,4.8,河北省
201507,19881.9584,-4.4,2773.6112,-18.6,1076.0493,4.3,河北省
201508,20514.3409,-4.5,3374.2232,-11.6,1236.9922,-2.5,河北省
201509,21922.5424,-2.2,4278.901,-6.8,1436.0574,-8.7,河北省
201510,22510.9193,-3.3,4681.4001,-9.4,1708.7988,-2.9,河北省
201511,23175.841,-3.3,5195.6889,-11.3,2320.1121,4.8,河北省
201512,23674.3802,-3.2,5542.98,-12.9,3226.9125,1.0,河北省
201601,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201602,18080.5355,6.0,601.3783,170.4,183.8237,-43.8,河北省
201603,18366.9268,3.3,906.6709,17.6,393.7425,-25.4,河北省
201604,18858.517,3.6,1578.4705,28.9,549.0008,-7.4,河北省
201605,19549.0793,4.5,2141.8821,24.4,655.9392,-5.2,河北省
201606,20451.9142,5.8,3040.3075,29.6,990.7448,11.4,河北省
201607,21051.8194,5.9,3632.903,31.0,1153.2254,7.2,河北省
201608,21672.8079,5.6,4253.8396,26.1,1293.2531,4.5,河北省
201609,22252.4727,1.5,4908.0473,14.7,1546.2971,7.7,河北省
201610,22728.6051,1.0,5392.1565,15.2,1909.2124,11.7,河北省
201611,23195.6596,0.1,5856.7785,12.7,2349.9824,1.3,河北省
201612,23407.1911,-1.1,6190.2908,11.7,3352.6104,3.9,河北省
201701,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201702,17075.4548,-5.6,311.0277,-48.3,319.2895,73.7,河北省
201703,17597.7966,-4.2,881.8771,-2.7,483.2281,22.7,河北省
201704,18478.7825,-2.0,1764.4877,11.8,655.8021,19.5,河北省
201705,19170.2577,-1.9,2456.6521,14.7,750.4847,14.4,河北省
201706,20098.747,-1.7,3380.4711,11.2,969.168,-2.2,河北省
201707,20775.2713,-1.3,4054.839,11.6,1069.7818,-7.2,河北省
201708,21355.4008,-1.5,4635.8102,9.0,1135.8713,-12.2,河北省
201709,21979.0527,-1.2,5260.5215,7.2,1398.2463,-9.6,河北省
201710,22484.919,-1.1,5774.6136,7.1,1600.4335,-16.2,河北省
201711,22873.2293,-1.4,6165.9266,5.3,1988.223,-15.4,河北省
201712,23200.011,-0.9,6568.0317,6.1,2730.1312,-18.6,河北省
201801,0.0,0.0,0.0,0.0,0.0,0.0,河北省
201802,15452.1679,-9.5,238.6094,-23.3,142.3293,-55.4,河北省
201803,15781.8521,-10.3,635.4409,-27.9,377.6441,-21.8,河北省
201804,16396.5586,-11.3,1247.9894,-29.3,507.6433,-22.6,河北省
