月份,房地产投资_累计值,房地产投资_累计增长,房地产住宅投资_累计值,房地产住宅投资_累计增长,地区
200801,0.0,0.0,0.0,0.0,北京市
200802,179.9859,23.4,84.604,-1.4,北京市
200803,315.2708,22.5,142.4253,5.4,北京市
200804,460.2185,16.6,215.7245,4.3,北京市
200805,615.8834,15.6,296.9554,5.9,北京市
200806,794.4341,11.9,391.853,7.3,北京市
200807,956.6034,6.0,461.9496,-0.5,北京市
200808,1025.2581,-3.4,485.9697,-10.8,北京市
200809,1136.9312,-8.1,531.7913,-15.7,北京市
200810,1315.2932,-7.3,682.0205,-4.5,北京市
200811,1510.82,-7.1,781.62,-2.1,北京市
200812,1908.7387,-4.4,940.5586,-5.2,北京市
200901,0.0,0.0,0.0,0.0,北京市
200902,119.8,-33.4,61.33,-27.5,北京市
200903,220.1232,-30.2,105.9759,-25.6,北京市
200904,338.25,-26.5,163.29,-24.3,北京市
200905,579.755,-5.9,225.7069,-24.0,北京市
200906,901.83,13.5,331.46,-15.4,北京市
200907,1205.0572,26.0,413.6224,-10.5,北京市
200908,1478.42,44.2,497.95,2.5,北京市
200909,1774.0803,56.0,587.6096,10.5,北京市
200910,1983.0226,50.8,657.7278,-3.6,北京市
200911,1612.53,6.7,724.78,-7.3,北京市
200912,2337.7124,22.5,906.6168,-3.6,北京市
201001,0.0,0.0,0.0,0.0,北京市
201002,204.8625,71.0,116.7817,90.4,北京市
201003,384.1617,74.5,213.6702,101.6,北京市
201004,555.9314,64.4,259.3269,58.8,北京市
201005,915.94,58.0,435.96,93.2,北京市
201006,1251.56,38.8,558.34,68.5,北京市
201007,1452.449,20.5,734.971,77.7,北京市
201008,1726.48,16.8,849.69,70.6,北京市
201009,2065.2239,16.4,1049.6804,78.6,北京市
201010,2300.5521,16.0,1131.167,72.0,北京市
201011,2645.6499,18.6,1347.0468,84.4,北京市
201012,2901.0686,24.1,1508.9501,66.4,北京市
201101,0.0,0.0,0.0,0.0,北京市
201102,196.5596,2.2,103.1681,-11.7,北京市
201103,415.7454,14.0,252.5409,24.1,北京市
201104,628.1029,19.3,416.8756,60.8,北京市
201105,915.63,4.1,541.9075,23.8,北京市
201106,1239.4609,3.7,686.8486,23.0,北京市
201107,1563.7977,13.2,917.6212,24.9,北京市
201108,1881.7106,14.5,1151.3015,35.5,北京市
201109,2196.1603,11.7,1350.4726,31.2,北京市
201110,2484.6818,12.8,1455.6576,28.7,北京市
201111,2790.0963,5.5,1636.2123,21.5,北京市
201112,3036.334,4.7,1778.307,17.9,北京市
201201,0.0,0.0,0.0,0.0,北京市
201202,187.5599,-4.6,83.7868,-18.8,北京市
201203,419.9212,1.0,208.6561,-17.4,北京市
201204,633.9305,0.9,305.7722,-26.7,北京市
201205,927.9479,1.3,463.1046,-14.5,北京市
201206,1283.1772,3.5,655.6042,-4.5,北京市
201207,1624.3865,3.9,811.7238,-11.5,北京市
201208,1876.2059,-0.3,978.1295,-15.0,北京市
201209,2203.719,0.3,1117.3875,-17.3,北京市
201210,2518.6094,1.4,1287.9334,-11.5,北京市
201211,2810.5433,0.7,1451.264,-11.3,北京市
201212,3153.4419,3.9,1627.9851,-8.5,北京市
201301,0.0,0.0,0.0,0.0,北京市
201302,227.0445,21.1,102.827,22.7,北京市
201303,451.9655,7.6,191.4162,-8.3,北京市
201304,647.8836,2.2,269.4121,-11.9,北京市
201305,932.5097,0.5,405.4972,-12.4,北京市
201306,1315.2826,2.5,612.4813,-6.6,北京市
201307,1609.0205,-0.9,740.5111,-8.8,北京市
201308,1929.3616,2.8,890.3966,-9.0,北京市
201309,2234.6014,1.4,1110.4886,-0.6,北京市
201310,2475.7625,-1.7,1222.1524,-5.1,北京市
201311,2864.1043,1.9,1400.5945,-3.5,北京市
201312,3483.4045,10.5,1724.561,5.9,北京市
201401,0.0,0.0,0.0,0.0,北京市
201402,243.6436,7.3,113.3812,10.3,北京市
201403,539.3599,19.3,276.6956,44.6,北京市
201404,785.8358,21.3,377.9964,40.3,北京市
201405,1029.6428,10.4,505.7573,24.7,北京市
201406,1434.8843,9.1,722.7168,18.0,北京市
201407,1791.3431,11.3,920.3352,24.3,北京市
201408,2179.9228,13.0,1115.2852,25.3,北京市
201409,2552.8242,14.2,1264.5148,13.9,北京市
201410,2837.1987,14.6,1419.4671,16.1,北京市
201411,3251.0212,13.5,1630.5331,16.4,北京市
201412,3715.3341,6.7,1846.0805,7.0,北京市
201501,0.0,0.0,0.0,0.0,北京市
201502,264.3045,8.5,124.3019,9.6,北京市
201503,667.7324,23.8,303.0716,9.5,北京市
201504,949.5753,20.8,437.0736,15.6,北京市
201505,1223.4938,18.8,603.6732,19.4,北京市
201506,1688.0704,17.6,832.9169,15.2,北京市
201507,2093.0282,16.8,1033.5886,12.3,北京市
201508,2449.3065,12.4,1143.2036,2.5,北京市
201509,2847.0079,11.5,1311.4697,3.7,北京市
201510,3265.8056,15.1,1529.9048,7.8,北京市
201511,3681.2709,13.2,1661.9669,1.9,北京市
201512,4177.0481,12.4,1889.5385,2.4,北京市
201601,0.0,0.0,0.0,0.0,北京市
201602,302.7881,14.6,127.4702,2.5,北京市
201603,662.7104,-0.8,295.6741,-2.4,北京市
201604,933.997,-1.6,405.4325,-7.2,北京市
201605,1175.0677,-4.0,516.1373,-14.5,北京市
201606,1607.5884,-4.8,729.1324,-12.5,北京市
201607,1953.7312,-6.7,907.5091,-12.2,北京市
201608,2256.7052,-7.9,1087.9043,-4.8,北京市
201609,2695.40869999999,-5.3,1310.2458,-0.1,北京市
201610,3168.7065,-3.0,1537.3909,0.5,北京市
201611,3551.4473,-3.5,1712.1002,3.0,北京市
201612,4000.5729,-4.2,1925.8648,1.9,北京市
201701,0.0,0.0,0.0,0.0,北京市
201702,288.7806,-4.6,144.1423,13.1,北京市
201703,607.1433,-8.4,309.2576,4.6,北京市
201704,857.8695,-8.2,411.5396,1.5,北京市
201705,1169.5897,-0.5,562.469,9.0,北京市
201706,1528.8967,-4.9,722.9474,-0.8,北京市
201707,1855.3947,-5.0,866.6679,-4.5,北京市
201708,2201.7846,-2.4,1048.8781,-3.6,北京市
201709,2600.7084,-3.5,1221.8356,-6.7,北京市
201710,2920.0698,-7.8,1342.3088,-12.7,北京市
201711,3218.5007,-9.4,1470.8875,-14.1,北京市
201712,3692.5416,-7.7,1694.6697,-12.0,北京市
201801,0.0,0.0,0.0,0.0,北京市
201802,281.4554,-2.5,126.248,-12.4,北京市
201803,531.3999,-12.5,234.5379,-24.2,北京市
201804,708.942,-17.4,311.4734,-24.3,北京市
201805,1052.1258,-10.0,479.6939,-14.7,北京市
201806,1429.8792,-6.5,683.7946,-5.4,北京市
201807,1766.6439,-4.8,832.513,-3.9,北京市
201808,2114.9898,-3.9,1011.3686,-3.6,北京市
201809,2565.4758,-1.4,1251.4428,2.4,北京市
201810,3002.9351,2.8,1515.2641,12.9,北京市
201811,3409.4668,5.9,1758.4508,19.6,北京市
201812,3873.3513,4.9,2026.0619,19.6,北京市
200801,0.0,0.0,0.0,0.0,天津市
200802,34.4377,25.5,24.2841,31.2,天津市
200803,95.651,27.3,56.3263,34.1,天津市
200804,152.3748,28.2,88.2548,31.4,天津市
200805,208.523,28.9,123.6836,29.8,天津市
200806,300.2656,29.3,189.2875,31.7,天津市
200807,342.6884,29.6,221.724,31.5,天津市
200808,392.3221,29.4,257.5151,32.8,天津市
200809,441.7784,28.6,292.6481,32.5,天津市
200810,487.6636,28.3,329.3216,33.3,天津市
200811,553.99,28.9,374.5,29.4,天津市
200812,653.7248,29.4,459.3327,34.0,天津市
200901,0.0,0.0,0.0,0.0,天津市
200902,39.65,15.1,27.22,12.1,天津市
200903,106.1701,11.0,79.2427,40.7,天津市
200904,168.33,10.5,110.66,25.4,天津市
200905,231.9898,11.3,149.3619,20.8,天津市
200906,342.38,14.0,217.22,14.8,天津市
200907,394.7635,15.2,248.2922,12.0,天津市
200908,457.07,16.5,282.94,9.9,天津市
200909,516.6909,17.0,326.6754,11.6,天津市
200910,564.75,15.8,360.3689,9.4,天津市
200911,632.95,14.3,399.3,6.6,天津市
200912,735.1836,12.5,494.8563,7.7,天津市
201001,0.0,0.0,0.0,0.0,天津市
201002,44.6954,12.7,32.224,18.4,天津市
201003,122.1551,15.1,69.924,-11.8,天津市
201004,195.9512,16.4,99.2826,-10.3,天津市
201005,270.96,16.8,143.73,-3.8,天津市
201006,413.07,20.6,233.45,7.5,天津市
201007,475.0552,20.3,276.7793,11.5,天津市
201008,547.69,19.8,327.77,15.8,天津市
201009,629.7323,21.9,383.2848,17.3,天津市
201010,680.0223,20.4,414.0086,14.9,天津市
201011,749.6416,18.4,465.2929,16.5,天津市
201012,866.6424,17.9,565.3883,14.3,天津市
201101,0.0,0.0,0.0,0.0,天津市
201102,54.1861,21.2,29.9484,-7.1,天津市
201103,153.1404,25.4,87.0582,24.5,天津市
201104,249.9519,27.6,141.897,42.9,天津市
201105,350.8557,29.5,203.9243,41.9,天津市
201106,539.0971,30.5,317.6732,36.1,天津市
201107,615.136,29.5,362.949,31.1,天津市
201108,703.8229,28.5,419.4627,28.0,天津市
201109,801.0089,27.2,486.8316,27.0,天津市
201110,863.7818,27.0,524.1355,26.6,天津市
201111,952.3932,27.0,591.3974,27.1,天津市
201112,1080.0436,24.6,678.9827,20.1,天津市
201201,0.0,0.0,0.0,0.0,天津市
201202,67.515,24.6,38.2274,27.6,天津市
201203,198.6395,29.7,123.3198,41.7,天津市
201204,318.4351,27.4,208.1535,46.7,天津市
201205,445.5903,27.0,297.5875,45.9,天津市
201206,675.8035,25.4,450.5932,41.8,天津市
201207,757.0867,23.1,498.6109,37.4,天津市
201208,856.4224,21.7,570.8453,36.1,天津市
201209,980.7594,22.4,661.2521,35.8,天津市
201210,1042.9611,20.7,697.297,33.0,天津市
201211,1128.6392,18.5,754.546,27.6,天津市
201212,1259.9969,16.6,843.0526,22.3,天津市
201301,0.0,0.0,0.0,0.0,天津市
201302,85.8781,27.2,57.7753,51.1,天津市
201303,249.5375,25.6,163.2285,32.4,天津市
201304,398.7542,25.2,266.2573,27.9,天津市
201305,568.9986,27.7,375.0474,26.0,天津市
201306,809.9982,19.9,536.4691,19.1,天津市
201307,910.086,20.2,604.609,21.3,天津市
201308,1020.3737,19.1,678.8466,18.9,天津市
201309,1158.7303,18.1,774.1252,17.1,天津市
201310,1221.6375,17.1,815.3734,16.9,天津市
201311,1328.4277,17.7,888.5378,17.8,天津市
201312,1480.8152,17.5,986.2785,17.0,天津市
201401,0.0,0.0,0.0,0.0,天津市
201402,103.8292,20.9,71.385,23.6,天津市
201403,303.3975,21.6,194.5671,19.2,天津市
201404,483.5004,21.3,318.4164,19.6,天津市
201405,679.7876,19.5,450.2247,20.0,天津市
201406,943.6804,16.5,617.2805,15.1,天津市
201407,1072.6254,17.9,702.702,16.2,天津市
201408,1206.1489,18.2,793.924,17.0,天津市
201409,1361.7684,17.5,898.3426,16.0,天津市
201410,1452.9313,18.9,949.9397,16.5,天津市
201411,1560.4565,17.5,1021.2919,14.9,天津市
201412,1699.6496,14.8,1122.2553,13.8,天津市
201501,0.0,0.0,0.0,0.0,天津市
201502,119.237,14.8,81.0211,13.5,天津市
201503,344.5796,13.6,226.9304,16.6,天津市
201504,540.1039,11.7,349.6353,9.8,天津市
201505,753.1244,10.8,488.5901,8.5,天津市
201506,1039.7283,10.2,660.2927,7.0,天津市
201507,1187.3161,10.7,778.6429,10.8,天津市
201508,1335.9854,10.8,882.1411,11.1,天津市
201509,1508.4889,10.8,1002.2833,11.6,天津市
201510,1623.91,11.8,1082.5655,14.0,天津市
201511,1730.5473,10.9,1153.4732,12.9,天津市
201512,1871.5464,10.1,1251.5275,11.5,天津市
201601,0.0,0.0,0.0,0.0,天津市
201602,137.0541,14.9,99.9964,23.4,天津市
201603,397.8454,15.5,258.5725,13.9,天津市
201604,616.2076,14.1,408.6322,16.9,天津市
201605,860.3739,14.2,583.1801,19.4,天津市
201606,1202.332,15.6,808.0455,22.4,天津市
201607,1413.8908,19.1,959.2591,23.2,天津市
201608,1613.9711,20.8,1102.2297,24.9,天津市
201609,1821.94839999999,20.8,1249.2788,24.6,天津市
201610,2007.5103,23.6,1390.7668,28.5,天津市
201611,2183.8935,26.2,1515.2039,31.4,天津市
201612,2300.0107,22.9,1598.2672,27.7,天津市
201701,0.0,0.0,0.0,0.0,天津市
201702,185.9472,35.7,122.984,23.0,天津市
201703,421.902,6.0,268.4607,3.8,天津市
201704,593.314,-3.7,389.7225,-4.6,天津市
201705,822.6427,-4.4,546.5736,-6.3,天津市
201706,1192.8514,-0.8,794.458,-1.7,天津市
201707,1424.5462,0.8,957.3318,-0.2,天津市
201708,1660.2915,2.9,1161.6982,5.4,天津市
201709,1899.1151,4.2,1323.4628,5.9,天津市
201710,2013.758,0.3,1406.0733,1.1,天津市
201711,2121.2883,-2.9,1486.1976,-1.9,天津市
201712,2233.3936,-2.9,1559.7031,-2.4,天津市
201801,0.0,0.0,0.0,0.0,天津市
201802,173.0955,-6.9,124.2231,1.0,天津市
201803,460.7246,9.2,319.8653,19.1,天津市
201804,694.8412,17.1,497.0862,27.5,天津市
201805,980.7502,19.2,694.9859,27.2,天津市
201806,1301.3731,9.1,928.0152,16.8,天津市
201807,1489.2187,4.5,1096.5212,14.5,天津市
201808,1651.6343,-0.5,1240.1032,6.7,天津市
201809,1893.3975,-0.3,1432.1931,8.2,天津市
201810,2087.517,3.7,1595.6717,13.5,天津市
201811,2231.1793,5.2,1719.7925,15.7,天津市
201812,2424.4892,8.6,1863.4979,19.5,天津市
200801,0.0,0.0,0.0,0.0,河北省
200802,28.1856,89.7,24.0588,73.3,河北省
200803,129.8866,53.6,105.3082,53.4,河北省
200804,208.0196,49.4,174.5576,52.2,河北省
200805,296.257,50.4,246.3909,54.5,河北省
200806,460.2415,60.4,380.417,63.8,河北省
200807,529.0991,52.2,437.7518,57.1,河北省
200808,624.5358,50.0,516.8334,53.1,河北省
200809,726.2097,44.6,591.646,44.1,河北省
200810,813.1483,42.6,653.6591,40.0,河北省
200811,938.93,46.2,750.69,43.6,河北省
200812,1062.6231,49.8,847.1753,47.7,河北省
200901,0.0,0.0,0.0,0.0,河北省
200902,27.1,-3.9,23.73,-1.4,河北省
200903,160.5754,23.6,122.5118,16.3,河北省
200904,269.25,29.4,189.88,8.8,河北省
200905,389.2004,31.4,292.233,18.6,河北省
200906,658.61,43.1,520.32,36.8,河北省
200907,749.5641,41.7,607.8706,38.9,河北省
200908,874.21,40.0,705.9,36.6,河北省
200909,1077.3304,48.3,873.5606,47.6,河北省
200910,1233.8009,51.7,996.7669,52.5,河北省
200911,1394.49,48.5,1120.46,49.3,河北省
200912,1517.1981,39.9,1218.3157,41.9,河北省
201001,0.0,0.0,0.0,0.0,河北省
201002,37.7994,39.5,31.1247,31.2,河北省
201003,268.9072,67.5,207.7703,69.6,河北省
201004,430.2698,59.8,334.8687,76.4,河北省
201005,618.58,58.9,483.88,65.6,河北省
201006,993.84,50.9,785.63,51.0,河北省
201007,1139.4901,52.0,903.4901,48.6,河北省
201008,1330.78,52.2,1062.26,50.5,河北省
201009,1624.4197,50.8,1300.6541,48.9,河北省
201010,1864.9056,51.2,1485.3446,49.0,河北省
201011,2101.8846,50.7,1663.6505,48.5,河北省
201012,2264.8348,49.0,1785.6487,46.5,河北省
201101,0.0,0.0,0.0,0.0,河北省
201102,63.5014,68.0,45.1551,45.1,河北省
201103,428.5681,59.4,308.653,48.6,河北省
201104,687.4178,59.8,505.9887,51.1,河北省
201105,987.2519,59.6,729.0527,50.7,河北省
201106,1432.4115,44.1,1067.749,35.9,河北省
201107,1723.4375,51.2,1283.5857,42.1,河北省
201108,2010.8569,51.1,1505.7021,41.7,河北省
201109,2334.7902,43.7,1747.5091,34.4,河北省
201110,2593.9666,39.1,1943.42,30.8,河北省
201111,2876.363,36.8,2154.0632,29.5,河北省
201112,3069.554,35.5,2296.3061,28.6,河北省
201201,0.0,0.0,0.0,0.0,河北省
201202,125.0491,36.5,96.3949,39.6,河北省
201203,412.9841,-3.6,308.0986,-0.2,河北省
201204,645.3067,-6.1,483.014,-4.5,河北省
201205,944.9341,-4.3,703.1128,-3.6,河北省
201206,1370.8778,-4.3,1016.5014,-4.8,河北省
201207,1621.9041,-5.9,1207.8748,-5.9,河北省
201208,1949.862,-3.0,1445.1298,-4.0,河北省
201209,2286.8291,-2.1,1699.6422,-2.7,河北省
201210,2602.845,0.3,1937.7308,-0.3,河北省
201211,2912.3351,1.3,2177.9525,1.1,河北省
201212,3086.5214,1.0,2317.1251,1.5,河北省
201301,0.0,0.0,0.0,0.0,河北省
201302,145.1008,16.0,106.6665,10.7,河北省
201303,455.5338,10.3,335.9886,9.1,河北省
201304,728.6788,12.9,530.8316,9.9,河北省
201305,1020.8739,8.0,752.2071,7.0,河北省
201306,1478.5461,7.9,1087.0326,6.9,河北省
201307,1779.673,9.7,1302.5997,7.8,河北省
201308,2150.034,10.3,1569.2074,8.6,河北省
201309,2517.4865,10.1,1849.8677,8.8,河北省
201310,2868.4091,10.2,2107.7834,8.8,河北省
201311,3214.5816,10.4,2365.771,8.6,河北省
201312,3445.4155,11.6,2539.2944,9.6,河北省
201401,0.0,0.0,0.0,0.0,河北省
201402,164.8792,13.6,121.8869,14.3,河北省
201403,543.9843,19.4,410.6523,22.2,河北省
201404,847.6328,16.3,634.4814,19.5,河北省
201405,1199.3154,17.5,892.5523,18.7,河北省
201406,1717.8218,16.2,1275.2685,17.3,河北省
201407,2090.7747,17.5,1557.6356,19.6,河北省
201408,2523.9635,17.4,1866.1233,18.9,河北省
201409,2963.0808,17.7,2188.0005,18.3,河北省
201410,3379.2789,17.8,2501.607,18.7,河北省
201411,3781.3467,17.6,2796.9533,18.2,河北省
201412,4059.7194,17.8,3010.3548,18.6,河北省
201501,0.0,0.0,0.0,0.0,河北省
201502,187.4583,13.7,134.6387,10.5,河北省
201503,619.9033,14.0,425.2078,3.5,河北省
201504,958.492,13.1,668.909,5.4,河北省
201505,1376.0893,14.7,964.1801,8.0,河北省
201506,1891.5401,10.1,1330.2144,4.3,河北省
201507,2265.1635,8.3,1626.1774,4.4,河北省
201508,2677.1783,6.1,1948.5383,4.4,河北省
201509,3150.6662,6.3,2306.9349,5.4,河北省
201510,3569.4583,5.6,2629.5405,5.1,河北省
201511,3987.9703,5.5,2945.616,5.3,河北省
201512,4285.271,5.6,3162.5474,5.1,河北省
201601,0.0,0.0,0.0,0.0,河北省
201602,206.5006,10.2,159.2106,18.3,河北省
201603,685.0957,10.5,510.4653,20.1,河北省
201604,1072.0482,11.8,792.8173,18.5,河北省
201605,1529.363,11.1,1128.0576,17.0,河北省
201606,2109.0819,11.5,1536.6579,15.5,河北省
201607,2551.7365,12.7,1859.4116,14.3,河北省
201608,3040.5496,13.6,2230.2295,14.5,河北省
201609,3579.6158,13.6,2636.6753,14.3,河北省
201610,4066.279,13.9,3002.3374,14.2,河北省
201611,4439.8394,11.3,3276.7038,11.2,河北省
201612,4695.6333,9.6,3475.483,9.9,河北省
201701,0.0,0.0,0.0,0.0,河北省
201702,220.4932,6.8,152.9064,-4.0,河北省
201703,717.9418,4.8,516.4209,1.2,河北省
201704,1167.0154,8.9,864.6494,9.1,河北省
201705,1657.5863,8.4,1248.054,10.6,河北省
201706,2239.7899,6.2,1686.297,9.7,河北省
201707,2702.7058,5.9,2047.744,10.1,河北省
201708,3202.0295,5.3,2427.3103,8.8,河北省
201709,3757.5938,5.0,2848.5068,8.0,河北省
201710,4228.5406,4.0,3206.0315,6.8,河北省
201711,4580.2257,3.2,3475.4542,6.1,河北省
201712,4823.9092,2.7,3656.9801,5.2,河北省
201801,0.0,0.0,0.0,0.0,河北省
201802,208.5376,-5.4,159.3554,4.2,河北省
201803,600.1655,-16.4,463.0515,-10.3,河北省
201804,961.764,-17.6,740.4498,-14.4,河北省
201805,1405.3679,-15.2,1089.3199,-12.7,河北省
201806,1963.9893,-12.3,1522.5775,-9.7,河北省
201807,2423.1278,-10.3,1875.8229,-8.4,河北省
201808,2905.7576,-9.3,2255.2008,-7.1,河北省
201809,3438.0326,-8.5,2671.6132,-6.2,河北省
201810,3844.954,-9.1,2984.9104,-6.9,河北省
201811,4182.5543,-8.7,3248.9685,-6.5,河北省
201812,4476.4037,-7.2,3471.1118,-5.1,河北省
200801,0.0,0.0,0.0,0.0,山西省
200802,5.6469,48.7,3.6981,9.0,山西省
200803,25.9339,49.8,16.144,20.4,山西省
200804,51.4256,40.0,36.179,33.9,山西省
200805,74.4888,35.0,54.1513,34.6,山西省
200806,108.0535,35.7,80.3365,39.1,山西省
200807,134.5017,28.8,98.5889,28.3,山西省
200808,158.5728,27.5,116.7852,25.7,山西省
200809,187.6478,27.7,137.0057,22.3,山西省
200810,218.4562,28.3,158.4738,21.1,山西省
200811,246.1,26.7,177.65,18.6,山西省
200812,326.7237,26.2,227.9429,19.8,山西省
200901,0.0,0.0,0.0,0.0,山西省
200902,7.05,24.9,4.15,12.3,山西省
200903,31.1175,20.0,22.6527,40.3,山西省
200904,58.87,14.5,46.59,28.8,山西省
200905,93.5726,25.6,73.6442,36.0,山西省
200906,150.68,39.4,118.61,47.6,山西省
200907,197.4571,46.8,155.9978,58.2,山西省
200908,240.61,51.7,190.31,63.0,山西省
200909,290.1227,54.6,232.3053,69.6,山西省
200910,332.4165,52.2,268.7576,69.6,山西省
200911,377.48,53.4,306.83,72.7,山西省
200912,477.2748,46.1,379.4643,66.6,山西省
201001,0.0,0.0,0.0,0.0,山西省
201002,9.1282,29.4,6.33,52.5,山西省
201003,40.6022,30.5,30.8237,36.1,山西省
201004,76.8506,30.5,58.1356,24.8,山西省
201005,120.3,28.6,89.84,22.0,山西省
201006,187.52,24.4,136.06,14.7,山西省
201007,245.9395,24.6,177.0658,13.5,山西省
201008,305.35,26.9,224.75,18.1,山西省
201009,368.0038,26.8,275.2754,18.5,山西省
201010,426.0933,28.2,321.6034,19.7,山西省
201011,487.3222,29.1,374.7608,22.1,山西省
201012,592.2376,24.1,457.454,21.1,山西省
201101,0.0,0.0,0.0,0.0,山西省
201102,12.0627,32.1,9.638,52.3,山西省
201103,53.4696,31.7,40.6954,32.0,山西省
201104,99.6922,29.7,75.4901,29.9,山西省
201105,159.293,32.4,119.6634,33.2,山西省
201106,250.7241,33.7,193.4396,42.2,山西省
201107,330.638,34.4,261.0736,47.4,山西省
201108,411.7342,34.8,328.7883,46.3,山西省
201109,494.8347,34.5,386.0965,40.3,山西省
201110,573.5909,34.6,445.5837,38.6,山西省
201111,655.9576,34.6,510.2646,36.2,山西省
201112,789.9241,33.4,615.0275,34.5,山西省
201201,0.0,0.0,0.0,0.0,山西省
201202,16.3394,35.5,12.2466,27.1,山西省
201203,65.3731,22.3,45.0054,10.6,山西省
201204,124.7631,25.1,85.8691,13.7,山西省
201205,202.4972,27.1,140.4103,17.3,山西省
201206,320.1103,27.7,223.4715,15.5,山西省
201207,416.779,26.1,291.4039,11.6,山西省
201208,523.4407,27.1,368.0632,11.9,山西省
201209,637.5027,28.8,452.8601,17.3,山西省
201210,740.0819,29.0,532.2959,19.5,山西省
201211,847.7156,29.2,616.6006,20.8,山西省
201212,1010.4513,27.9,735.6137,19.5,山西省
201301,0.0,0.0,0.0,0.0,山西省
201302,21.0423,28.8,14.9031,21.7,山西省
201303,80.425,23.0,57.1296,26.9,山西省
201304,154.0963,23.5,112.6077,31.1,山西省
201305,261.2436,29.0,196.1183,39.7,山西省
201306,413.9349,29.3,315.9881,41.4,山西省
201307,532.8444,27.8,406.9512,39.7,山西省
201308,667.6673,27.6,507.5769,37.9,山西省
201309,826.4343,29.6,619.0655,36.7,山西省
201310,972.4676,31.4,724.3983,36.1,山西省
201311,1127.9594,33.1,834.1853,35.3,山西省
201312,1308.6275,29.5,958.8469,30.3,山西省
201401,0.0,0.0,0.0,0.0,山西省
201402,26.848,27.6,20.6679,38.7,山西省
201403,95.8775,19.2,71.5278,25.2,山西省
201404,166.9066,8.3,125.4165,11.4,山西省
201405,284.8733,9.0,210.9106,7.5,山西省
201406,440.5893,6.4,325.4276,3.0,山西省
201407,585.2844,9.8,429.4816,5.5,山西省
201408,748.2343,12.1,553.3841,9.0,山西省
201409,923.7292,11.8,685.2569,10.7,山西省
201410,1070.4588,10.1,789.9632,9.1,山西省
201411,1221.3427,8.3,889.3287,6.6,山西省
201412,1403.5549,7.3,1010.6901,5.4,山西省
201501,0.0,0.0,0.0,0.0,山西省
201502,33.9015,26.3,25.2792,22.3,山西省
201503,115.1044,20.1,80.725,12.9,山西省
201504,196.7842,17.9,141.0157,12.4,山西省
201505,338.9139,19.0,247.9274,17.6,山西省
201506,523.6341,18.8,383.5252,17.9,山西省
201507,682.916,16.7,501.5397,16.8,山西省
201508,856.096,14.4,627.0489,13.3,山西省
201509,1034.1784,12.0,760.6652,11.0,山西省
201510,1187.3826,10.9,872.493,10.4,山西省
201511,1356.9486,11.1,994.8511,11.9,山西省
201512,1494.8719,6.5,1098.3176,8.7,山西省
201601,0.0,0.0,0.0,0.0,山西省
201602,37.5065,10.6,27.6434,9.4,山西省
201603,131.7734,14.5,95.0822,17.8,山西省
201604,228.2443,16.0,164.5753,16.7,山西省
201605,366.4574,8.1,266.7646,7.6,山西省
201606,556.8747,6.3,401.6192,4.7,山西省
201607,750.6616,9.9,539.6545,7.6,山西省
201608,950.2294,11.0,682.7663,8.9,山西省
201609,1142.35979999999,10.5,815.4814,7.2,山西省
201610,1292.1555,8.8,925.0111,6.0,山西省
201611,1449.8282,6.8,1037.0777,4.2,山西省
201612,1597.3532,6.9,1141.0813,3.9,山西省
201701,0.0,0.0,0.0,0.0,山西省
201702,41.5295,10.7,30.5695,10.6,山西省
201703,142.1295,7.9,103.0092,8.3,山西省
201704,251.7718,10.3,180.4701,9.7,山西省
201705,379.4917,3.6,273.5574,2.5,山西省
201706,568.0669,2.0,407.978,1.6,山西省
201707,711.0181,-5.3,510.2465,-5.4,山西省
201708,807.8167,-15.0,585.4268,-14.3,山西省
201709,918.5756,-19.6,670.1632,-17.8,山西省
201710,1005.8271,-22.2,737.0186,-20.3,山西省
201711,1087.1703,-25.0,799.5594,-22.9,山西省
201712,1166.2833,-27.0,846.3841,-25.8,山西省
201801,0.0,0.0,0.0,0.0,山西省
201802,47.4944,14.4,36.4776,19.3,山西省
201803,161.73,13.8,121.5049,18.0,山西省
201804,274.385,9.0,201.8203,11.8,山西省
201805,420.3798,10.8,310.5261,13.5,山西省
201806,642.1949,13.0,469.5542,15.1,山西省
201807,771.1499,8.5,570.43,11.8,山西省
201808,921.2184,14.0,687.1806,17.4,山西省
201809,1055.6625,14.9,788.3212,17.6,山西省
201810,1167.1429,16.0,870.4128,18.1,山西省
201811,1267.7648,16.6,950.0751,18.8,山西省
201812,1376.5885,18.0,1033.7641,22.1,山西省
200801,0.0,0.0,0.0,0.0,内蒙古自治区
200802,0.443,-51.9,0.338,-63.3,内蒙古自治区
200803,14.487,63.6,9.7031,23.6,内蒙古自治区
200804,69.0495,83.2,48.1682,64.5,内蒙古自治区
200805,145.3362,59.9,108.4659,48.1,内蒙古自治区
200806,281.8731,70.3,209.0103,66.7,内蒙古自治区
200807,372.9597,60.8,281.8467,60.5,内蒙古自治区
200808,484.1231,54.8,373.6898,58.3,内蒙古自治区
200809,586.7507,53.5,454.5366,57.6,内蒙古自治区
200810,661.3746,50.0,514.9686,53.7,内蒙古自治区
200811,713.82,49.6,554.38,51.6,内蒙古自治区
200812,736.0826,47.0,572.0941,49.0,内蒙古自治区
200901,0.0,0.0,0.0,0.0,内蒙古自治区
200902,0.1,-77.4,0.1,-70.4,内蒙古自治区
200903,19.3991,33.9,12.887,32.8,内蒙古自治区
