月份,房地产施工面积_累计值,房地产施工面积_累计增长,房地产新开工施工面积_累计值,房地产新开工施工面积_累计增长,房地产竣工面积_累计值,房地产竣工面积_累计增长,地区
201009,10198.88,12.2,2141.41,27.0,963.63,-26.8,上海市
201010,10503.5142,13.8,2411.0703,37.8,1153.8321,-19.4,上海市
201011,10770.3746,13.8,2619.5983,31.2,1354.3708,-14.7,上海市
201012,11295.0262,13.5,3030.5902,22.1,1941.2468,-7.8,上海市
201101,0.0,0.0,0.0,0.0,0.0,0.0,上海市
201102,8482.814,14.2,412.1111,34.7,196.1314,-10.5,上海市
201103,9752.1315,19.1,976.2681,33.2,356.1112,-5.7,上海市
201104,10110.0003,18.4,1253.6534,30.9,519.3683,11.7,上海市
201105,10459.8471,17.8,1526.8768,35.5,683.1316,21.3,上海市
201106,10759.5321,16.7,1752.1979,26.9,837.4863,22.0,上海市
201107,11042.772,15.6,1977.5337,20.6,1036.0935,34.3,上海市
201108,11640.0771,17.3,2392.6254,24.2,1256.8592,43.6,上海市
201109,11934.8199,17.0,2648.3531,23.7,1440.0762,49.4,上海市
201110,12193.7017,16.1,2902.9136,20.4,1502.7661,30.2,上海市
201111,12587.432,16.9,3294.9762,25.8,1672.1867,23.5,上海市
201112,12983.3236,14.9,3644.0558,20.2,2240.6151,15.4,上海市
201201,0.0,0.0,0.0,0.0,0.0,0.0,上海市
201202,10361.7644,22.2,518.2305,25.8,244.5428,24.7,上海市
201203,10963.995,12.4,783.2792,-19.8,428.8992,20.4,上海市
201204,11277.0211,11.5,948.1485,-24.4,601.5916,15.8,上海市
201205,11787.7149,12.7,1293.2799,-15.3,768.7471,12.5,上海市
201206,12057.5027,12.1,1467.4055,-16.3,974.1567,16.3,上海市
201207,12199.0401,10.5,1596.824,-19.3,1125.9901,8.7,上海市
201208,12605.2945,8.3,1984.172,-17.1,1292.1475,2.8,上海市
201209,12754.2664,6.9,2119.8618,-20.0,1381.7715,-4.0,上海市
201210,13011.2188,6.7,2338.0102,-19.5,1507.8262,0.3,上海市
201211,13189.8698,4.8,2532.4501,-23.1,1609.8613,-3.7,上海市
201212,13249.9656,1.7,2724.0509,-26.9,2305.0586,-3.3,上海市
201301,0.0,0.0,0.0,0.0,0.0,0.0,上海市
201302,10628.0919,2.6,533.3077,2.9,627.1903,156.5,上海市
201303,10969.2465,0.0,622.3033,-20.6,765.3678,78.4,上海市
201304,11482.7654,1.8,783.9831,-17.3,880.1117,46.3,上海市
201305,11824.0458,0.3,1046.1665,-19.1,982.3747,27.8,上海市
201306,12086.2335,0.2,1246.8002,-15.0,1071.1709,10.0,上海市
201307,12251.2615,0.4,1388.4338,-13.1,1236.9589,9.9,上海市
201308,12622.8491,0.1,1653.3867,-16.7,1346.2448,4.2,上海市
201309,12832.0882,0.6,1947.192,-8.1,1424.836,3.1,上海市
201310,13010.9701,0.0,2053.5672,-12.2,1540.6924,2.2,上海市
201311,13441.4262,1.9,2413.4355,-4.7,1714.5728,6.5,上海市
201312,13516.5832,2.0,2705.9518,-0.7,2254.435,-2.2,上海市
201401,0.0,0.0,0.0,0.0,0.0,0.0,上海市
201402,11239.1748,5.7,254.1782,-52.3,385.135,-38.6,上海市
201403,11761.9831,7.2,570.0434,-8.4,489.6214,-36.0,上海市
201404,11909.9873,3.7,743.2727,-5.2,573.4011,-34.8,上海市
201405,12334.6026,4.3,899.2914,-14.0,743.6367,-24.3,上海市
201406,12561.5023,3.9,1115.4009,-10.5,879.5168,-17.9,上海市
201407,12821.1973,4.7,1323.4762,-4.7,1089.3503,-11.9,上海市
201408,13089.4668,3.7,1479.1255,-10.5,1211.244,-10.0,上海市
201409,13426.5461,4.6,1783.5136,-8.4,1328.3339,-6.8,上海市
201410,13867.8641,6.6,2137.8176,4.1,1467.0347,-4.8,上海市
201411,14398.3492,7.1,2580.3971,6.9,1757.0358,2.5,上海市
201412,14690.1763,8.7,2782.0242,2.8,2313.292,2.6,上海市
201501,0.0,0.0,0.0,0.0,0.0,0.0,上海市
201502,11538.6026,2.7,246.7246,-2.9,600.5214,55.9,上海市
201503,12041.4676,2.4,343.1727,-39.8,832.2114,70.0,上海市
201504,12431.2365,4.4,612.9487,-17.5,951.3749,65.9,上海市
201505,12720.8894,3.1,792.3984,-11.9,1025.8626,38.0,上海市
201506,13233.8749,5.4,1008.7352,-9.6,1233.7818,40.3,上海市
201507,13359.4205,4.2,1198.6337,-9.4,1334.9909,22.5,上海市
201508,13730.6051,4.9,1496.2161,1.2,1490.5585,23.1,上海市
201509,14094.0237,5.0,1785.7354,0.1,1586.3905,19.4,上海市
201510,14296.2447,3.1,1962.0349,-8.2,1899.9209,29.5,上海市
201511,14738.8938,2.4,2306.2138,-10.6,2080.3108,18.4,上海市
201512,15095.3336,2.8,2605.0785,-6.4,2647.176,14.4,上海市
201601,0.0,0.0,0.0,0.0,0.0,0.0,上海市
201602,11911.4586,3.2,352.7258,43.0,553.8063,-7.8,上海市
201603,12378.5015,2.8,511.2109,49.0,722.2894,-13.2,上海市
201604,12638.6267,1.7,587.4325,-4.2,865.6078,-9.0,上海市
201605,12982.6562,2.1,861.0596,8.7,964.2175,-6.0,上海市
201606,13234.6467,0.0,1094.5065,8.5,1080.9971,-12.4,上海市
201607,13523.5989,1.2,1378.5116,15.0,1317.3436,-1.3,上海市
201608,13815.2111,0.6,1646.2232,10.0,1414.8322,-5.1,上海市
201609,14201.2819,0.8,1970.3344,10.3,1555.7713,-1.9,上海市
201610,14577.2646,2.0,2342.8372,19.4,1689.4859,-11.1,上海市
201611,14800.4693,0.4,2534.1342,9.9,1877.7556,-9.7,上海市
201612,15111.2403,0.1,2840.9526,9.1,2550.6443,-3.6,上海市
201701,0.0,0.0,0.0,0.0,0.0,0.0,上海市
201702,12384.3861,4.0,334.5049,-5.2,964.8295,74.2,上海市
201703,12862.4201,3.9,528.6761,3.4,1198.0546,65.9,上海市
201704,13234.9418,4.7,786.5945,33.9,1268.3311,46.5,上海市
201705,13441.3422,3.5,1035.531,20.3,1384.2089,43.6,上海市
201706,13659.2416,3.2,1206.8216,10.3,1707.0627,57.9,上海市
201707,13921.4951,2.9,1386.7507,0.6,1936.5579,47.0,上海市
201708,14201.2227,2.8,1641.913,-0.3,2052.0398,45.0,上海市
201709,14402.2572,1.4,1807.5439,-8.3,2178.6861,40.0,上海市
201710,14726.2208,1.0,2089.962,-10.8,2372.3848,40.4,上海市
201711,15002.6269,1.4,2350.5027,-7.2,2616.8549,39.4,上海市
201712,15362.2465,1.7,2618.0016,-7.8,3387.5601,32.8,上海市
201801,0.0,0.0,0.0,0.0,0.0,0.0,上海市
201802,11927.3428,-3.7,142.7729,-57.3,829.4469,-14.0,上海市
201803,12075.5085,-6.1,262.8166,-50.3,1088.0793,-9.2,上海市
201804,12414.3656,-6.2,552.7192,-29.7,1232.9375,-2.8,上海市
201805,12727.1829,-5.3,868.3477,-16.1,1353.2422,-2.2,上海市
201806,12995.5035,-4.9,1129.8165,-6.4,1588.9135,-6.9,上海市
201807,13181.624,-5.3,1306.4384,-5.8,1900.0673,-1.9,上海市
201808,13540.7194,-4.7,1642.5359,0.0,2049.4769,-0.1,上海市
201809,13900.5396,-3.5,1996.2416,10.4,2194.2239,0.7,上海市
201810,14169.7193,-3.8,2246.0019,7.5,2344.5064,-1.2,上海市
201811,14536.3285,-3.1,2573.2366,9.5,2494.3099,-4.7,上海市
201812,14672.3695,-4.5,2687.1654,2.6,3115.7618,-8.0,上海市
200801,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
200802,16910.62,38.1,2042.33,42.3,856.22,74.8,江苏省
200803,19293.81,35.6,2973.49,28.7,1289.42,61.3,江苏省
200804,20147.31,29.5,3846.41,23.2,1527.86,47.5,江苏省
200805,21400.71,29.7,4723.74,24.5,1998.93,49.9,江苏省
200806,22672.47,28.0,5738.82,26.0,2473.57,41.7,江苏省
200807,23481.72,26.9,6382.71,24.9,2811.75,39.5,江苏省
200808,24248.66,27.6,6983.55,22.7,3188.19,33.0,江苏省
200809,24959.49,26.6,7554.85,20.6,3480.86,26.1,江苏省
200810,25554.49,26.0,7999.76,18.0,3883.16,28.9,江苏省
200811,26334.87,25.4,8574.99,14.9,4248.97,26.9,江苏省
200812,28188.14,21.4,10015.75,7.7,6705.0,5.7,江苏省
200901,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
200902,20160.1,19.2,1675.57,-18.0,997.82,16.5,江苏省
200903,22012.4,14.1,2284.31,-23.2,1538.8,19.3,江苏省
200904,22667.69,12.5,2704.65,-29.7,1878.04,22.9,江苏省
200905,23310.58,8.9,3219.78,-31.8,2209.78,10.5,江苏省
200906,24230.87,6.9,3779.09,-34.1,2701.14,9.2,江苏省
200907,24849.23,5.8,4287.86,-32.8,3393.29,20.7,江苏省
200908,25580.84,5.5,4922.7,-29.5,3893.41,22.1,江苏省
200909,26499.15,6.2,5732.36,-24.1,4283.37,23.1,江苏省
200910,27290.14,6.8,6417.17,-19.8,4781.16,23.1,江苏省
200911,28199.56,7.1,7622.58,-11.1,5400.32,27.1,江苏省
200912,29802.55,2.9,9080.93,-15.3,7706.55,-6.8,江苏省
201001,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
201002,22800.59,13.1,1760.05,5.0,911.83,-8.6,江苏省
201003,24273.79,10.3,3032.54,32.8,1545.26,0.4,江苏省
201004,25276.3,11.5,4058.9,50.1,1979.71,5.4,江苏省
201005,26538.58,13.8,5328.22,65.5,2523.71,14.2,江苏省
201006,27956.91,15.4,6662.4,76.3,3240.26,20.0,江苏省
201007,29128.0,17.2,7713.94,79.9,3757.24,10.7,江苏省
201008,30190.65,18.0,8744.11,77.6,4141.97,6.4,江苏省
201009,31071.13,17.3,9711.75,69.4,4614.2,7.7,江苏省
201010,32121.4509,17.7,10721.7813,67.1,4946.6121,3.5,江苏省
201011,33233.212,17.9,11828.8484,55.2,5375.1001,-0.5,江苏省
201012,35063.7631,17.1,13729.6118,49.1,8265.6057,-2.1,江苏省
201101,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
201102,28146.6255,23.4,2720.1039,54.5,1127.872,23.7,江苏省
201103,29465.3194,21.4,4120.9413,35.9,1705.3926,10.4,江苏省
201104,31267.4975,23.7,5971.1366,47.1,2125.0148,7.3,江苏省
201105,32585.1534,22.8,7410.8085,39.1,2590.5755,2.6,江苏省
201106,34064.2959,21.8,8531.271,28.1,3061.6867,-5.5,江苏省
201107,35454.4081,21.7,9861.9345,27.8,3559.1293,-5.3,江苏省
201108,36120.023,19.6,10445.0467,19.5,4016.7972,-3.0,江苏省
201109,37243.7784,19.9,11432.8685,17.7,4468.7044,-3.2,江苏省
201110,38025.5337,18.4,12207.215,13.9,4810.0582,-2.8,江苏省
201111,39033.2937,17.5,13166.45,11.3,5443.5524,1.3,江苏省
201112,40738.0815,16.0,14721.1099,7.1,8040.8771,-7.5,江苏省
201201,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
201202,33450.4233,18.8,2220.6069,-18.4,1481.4667,31.4,江苏省
201203,35012.1458,18.8,4240.0749,2.9,2201.9894,29.1,江苏省
201204,35494.1978,13.5,4499.7955,-24.6,2499.5076,17.6,江苏省
201205,36847.0009,13.1,5817.2445,-21.5,2937.042,13.4,江苏省
201206,38340.7313,12.6,7031.6837,-17.6,3435.6204,12.2,江苏省
201207,39007.7877,10.0,7950.3752,-19.4,4208.3064,18.2,江苏省
201208,40431.6741,11.9,9280.5232,-11.1,4789.2881,19.2,江苏省
201209,41096.5722,10.3,9980.7836,-12.7,5171.5681,15.7,江苏省
201210,41921.3579,10.2,10744.127,-12.0,5614.3725,16.7,江苏省
201211,43335.0638,11.0,12092.6539,-8.2,6592.9425,21.1,江苏省
201212,45097.5382,11.4,13908.4434,-5.5,9848.4031,16.6,江苏省
201301,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
201302,36429.9815,8.9,2818.7259,26.9,1802.1188,21.6,江苏省
201303,37958.1008,8.4,4063.5732,-4.2,2369.4173,7.6,江苏省
201304,39816.2856,12.2,5562.2402,23.6,2848.2124,14.0,江苏省
201305,41342.7632,12.2,6758.5807,16.2,3382.0209,15.2,江苏省
201306,42953.2007,12.0,8158.8596,16.0,3911.7227,13.9,江苏省
201307,44850.0055,15.0,9735.5313,22.5,4403.651,4.6,江苏省
201308,46034.1417,13.9,10812.211,16.5,4896.0619,2.2,江苏省
201309,47792.2795,16.3,11987.7808,20.1,5443.6484,5.3,江苏省
201310,48468.7062,15.6,12624.7677,17.5,5908.9435,5.2,江苏省
201311,50676.515,16.9,14520.843,20.1,6723.0526,2.0,江苏省
201312,52574.1736,16.6,16358.1844,17.6,9711.5969,-1.4,江苏省
201401,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
201402,43691.9574,19.9,1949.6851,-30.8,1635.7592,-9.2,江苏省
201403,45065.1749,18.7,2977.7279,-26.7,2253.4619,-4.9,江苏省
201404,46803.2668,17.5,4304.1781,-22.6,2808.7598,-1.4,江苏省
201405,48679.646,17.7,5805.2478,-14.1,3508.8448,3.7,江苏省
201406,50302.1502,17.1,7194.0191,-11.8,4132.1727,5.6,江苏省
201407,51686.4265,15.2,8337.5119,-14.4,4566.6423,3.7,江苏省
201408,53341.9442,15.9,9667.0057,-10.6,5222.7713,6.7,江苏省
201409,54849.2257,14.8,10979.8899,-8.4,5705.7967,4.8,江苏省
201410,56111.5026,15.8,12130.8663,-3.9,6330.7368,7.1,江苏省
201411,56848.2701,12.2,13206.7499,-9.0,7020.9946,4.4,江苏省
201412,57637.7193,9.6,14220.3474,-13.1,9620.4748,-0.9,江苏省
201501,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
201502,46564.1049,6.6,1626.6702,-16.6,1625.5901,-0.6,江苏省
201503,47268.5421,4.9,2219.0847,-25.5,2287.5907,1.5,江苏省
201504,48707.946,4.1,3371.2743,-21.7,2604.838,-7.3,江苏省
201505,50083.7622,2.9,4473.762,-22.9,3231.9153,-7.9,江苏省
201506,51419.2889,2.2,5426.5201,-24.6,3838.1635,-7.1,江苏省
201507,52377.7413,1.3,6230.3809,-25.3,4412.9711,-3.4,江苏省
201508,53515.6968,0.3,7143.8912,-26.1,4710.2198,-9.8,江苏省
201509,55463.4807,1.1,8874.7885,-19.2,5374.4475,-5.8,江苏省
201510,56540.4664,0.8,9742.9305,-19.7,6527.6107,3.1,江苏省
201511,57467.8288,1.1,10572.5367,-19.9,7412.9086,5.6,江苏省
201512,58118.4419,0.8,11542.559,-18.8,10296.9592,7.0,江苏省
201601,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
201602,45969.2107,-1.3,1967.5387,21.0,1700.8325,4.6,江苏省
201603,48347.8109,2.3,3393.2858,52.9,2543.4307,11.2,江苏省
201604,49760.8134,2.2,4696.4848,39.3,3155.4815,21.1,江苏省
201605,51346.6939,2.5,6227.9871,39.2,3768.9779,16.6,江苏省
201606,52400.0967,1.9,7293.2112,34.4,4399.5746,14.6,江苏省
201607,53437.6383,2.0,8285.3002,33.0,4796.7663,8.7,江苏省
201608,54288.5626,1.4,9107.0952,27.5,5365.7446,13.9,江苏省
201609,55369.2257,-0.2,10162.5362,14.5,5870.5861,9.2,江苏省
201610,56648.6368,0.2,11466.6208,17.7,6974.0493,6.8,江苏省
201611,57802.9318,0.6,12599.0464,19.2,7551.1058,1.9,江苏省
201612,58761.7302,1.1,13670.8342,18.4,10073.9645,-2.2,江苏省
201701,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
201702,47858.5403,4.1,1702.5775,-13.5,2036.0877,19.7,江苏省
201703,48665.1899,0.7,2579.0677,-24.0,2811.0016,10.5,江苏省
201704,49946.0228,0.4,3881.3171,-17.4,3226.4267,2.2,江苏省
201705,51482.2699,0.3,5352.6417,-14.1,3875.4039,2.8,江苏省
201706,52570.6464,0.3,6449.345,-11.6,4678.2342,6.3,江苏省
201707,53837.2097,0.7,7682.8115,-7.3,5196.5774,8.3,江苏省
201708,54834.742,1.0,8692.0373,-4.6,5530.9357,3.1,江苏省
201709,56125.8884,1.4,10026.5449,-1.3,5935.6702,1.1,江苏省
201710,57172.4516,0.9,11062.2543,-3.5,6648.4895,-4.7,江苏省
201711,58552.9627,1.3,12444.5952,-1.2,7642.0739,1.2,江苏省
201712,59464.2268,1.2,13739.1013,0.5,9581.7259,-4.9,江苏省
201801,0.0,0.0,0.0,0.0,0.0,0.0,江苏省
201802,47772.473,-0.2,1965.5882,15.4,1544.2192,-24.2,江苏省
201803,49629.6549,2.0,3753.2164,45.5,2287.3133,-18.6,江苏省
201804,51379.6645,2.9,5415.6814,39.5,2851.8496,-11.6,江苏省
201805,52987.7203,2.9,7020.6849,31.2,3270.4813,-15.6,江苏省
201806,54496.0296,3.7,8533.1162,32.3,3769.3846,-19.4,江苏省
201807,56042.5888,4.1,10070.0111,31.1,4194.5471,-19.3,江苏省
201808,57473.9236,4.8,11485.9825,32.1,4534.0408,-18.0,江苏省
201809,58610.0887,4.4,12621.7374,25.9,4930.6625,-16.9,江苏省
201810,59849.1044,4.7,13854.5263,25.2,5352.7449,-19.5,江苏省
201811,61450.2185,4.9,15431.8805,24.0,6056.2509,-20.8,江苏省
201812,62673.4699,5.4,16821.2672,22.4,8536.2697,-10.9,江苏省
200801,0.0,0.0,0.0,0.0,0.0,0.0,浙江省
200802,13226.33,9.0,762.39,18.5,571.03,63.6,浙江省
200803,14282.69,6.8,1186.31,8.1,849.79,73.4,浙江省
200804,15025.19,8.3,1627.62,18.1,1070.02,65.4,浙江省
200805,15681.91,9.2,2175.04,31.2,1227.08,54.9,浙江省
200806,16140.06,8.1,2517.65,24.9,1406.42,36.5,浙江省
200807,16624.76,9.0,2967.16,28.4,1609.12,24.0,浙江省
200808,17062.91,8.2,3355.31,22.1,1732.3,15.8,浙江省
200809,17523.65,8.3,3764.71,19.2,2033.58,18.6,浙江省
200810,17887.91,6.7,4058.86,11.4,2293.09,16.3,浙江省
200811,18228.43,5.1,4339.18,4.5,2614.83,14.3,浙江省
200812,19094.97,3.9,5094.76,-3.3,4132.67,0.8,浙江省
200901,0.0,0.0,0.0,0.0,0.0,0.0,浙江省
200902,12857.18,-2.8,709.52,-6.9,502.18,-12.1,浙江省
200903,14788.27,3.5,1053.26,-11.2,631.28,-25.7,浙江省
200904,15432.14,2.7,1313.0,-19.3,757.63,-29.2,浙江省
200905,15829.04,0.9,1612.2,-25.9,916.29,-25.3,浙江省
200906,16479.9,2.1,2113.4,-16.1,1183.15,-15.9,浙江省
200907,16945.36,1.9,2569.39,-13.4,1435.44,-10.8,浙江省
200908,17480.32,2.4,3004.41,-10.5,1535.83,-11.3,浙江省
200909,18001.4,2.7,3469.31,-7.8,1701.85,-16.3,浙江省
200910,18549.58,3.7,3880.63,-4.4,1862.76,-18.8,浙江省
200911,19176.7,5.2,4970.19,14.5,2174.79,-16.8,浙江省
200912,19920.95,3.4,5623.53,7.0,3673.13,-17.6,浙江省
201001,0.0,0.0,0.0,0.0,0.0,0.0,浙江省
201002,15957.75,24.1,1072.51,51.2,429.83,-14.4,浙江省
201003,16964.62,14.7,1700.27,61.4,621.23,-1.6,浙江省
201004,17747.9,15.0,2349.08,78.9,838.02,10.6,浙江省
201005,18356.53,16.0,2888.26,79.2,1101.69,20.2,浙江省
201006,19040.67,15.5,3526.63,66.9,1344.31,13.6,浙江省
201007,19646.19,15.9,3991.64,55.4,1599.8,11.4,浙江省
201008,20366.1,16.5,4616.21,53.6,1785.19,16.2,浙江省
201009,21357.94,18.6,5651.14,62.9,1992.31,17.1,浙江省
201010,22163.1463,19.5,6357.6783,63.8,2317.1979,24.4,浙江省
201011,23016.3079,20.0,7181.8685,44.5,2652.8494,22.0,浙江省
201012,23824.5252,19.5,7890.6265,40.7,4049.4732,5.4,浙江省
201101,0.0,0.0,0.0,0.0,0.0,0.0,浙江省
201102,20757.7235,30.1,1546.5766,44.2,469.8819,9.3,浙江省
201103,22189.6511,30.8,2847.1383,67.5,868.5702,39.8,浙江省
201104,23128.8958,30.3,3753.7146,59.8,1170.5513,39.7,浙江省
201105,24094.0201,31.3,4656.2375,61.2,1414.5655,28.4,浙江省
201106,25297.0439,32.9,5732.4903,62.5,1651.6248,22.9,浙江省
201107,26228.1996,33.5,6493.4879,62.7,1955.207,22.2,浙江省
201108,26984.0633,32.5,7204.5062,56.1,2108.2742,18.1,浙江省
201109,27648.1911,29.5,7774.8716,37.6,2302.3017,15.6,浙江省
201110,28149.0922,27.0,8251.6617,29.8,2541.5094,9.7,浙江省
201111,29418.8943,27.8,9494.2192,32.2,2856.9973,7.7,浙江省
201112,30318.083,27.5,10216.9371,30.3,4423.3245,7.5,浙江省
201201,0.0,0.0,0.0,0.0,0.0,0.0,浙江省
201202,25824.133,24.4,1145.5466,-25.9,528.9215,12.6,浙江省
201203,26625.5289,20.0,1870.0267,-34.3,794.8524,-8.5,浙江省
