月份,商业营业用房施工面积_累计值,商业营业用房施工面积_累计增长,商业营业用房新开工施工面积_累计值,商业营业用房新开工施工面积_累计增长,商业营业用房竣工面积_累计值,商业营业用房竣工面积_累计增长,地区
201403,1284.7384,16.6,22.5432,-8.5,30.0734,57.8,山西省
201404,1302.394,12.6,31.795,-62.3,49.0183,89.1,山西省
201405,1351.0271,11.0,69.3979,-46.0,73.0343,95.9,山西省
201406,1400.6025,10.8,111.1329,-29.4,93.9039,65.5,山西省
201407,1571.7834,18.3,272.7375,30.2,97.7438,39.1,山西省
201408,1616.9839,14.7,309.4064,10.8,99.7107,30.6,山西省
201409,1676.7682,14.0,362.9851,8.1,115.6227,38.3,山西省
201410,1756.7592,16.2,405.1766,10.9,130.4986,41.2,山西省
201411,1796.7952,15.1,438.5147,6.8,152.8293,21.9,山西省
201412,1871.5308,13.6,483.9721,2.4,257.714,-5.6,山西省
201501,0.0,0.0,0.0,0.0,0.0,0.0,山西省
201502,1383.7812,11.5,5.2869,138.2,1.8694,-84.2,山西省
201503,1435.7998,11.8,33.1909,47.2,22.1946,-26.2,山西省
201504,1430.8503,9.9,52.8797,66.3,27.4545,-44.0,山西省
201505,1478.2603,9.4,90.5864,30.5,40.7757,-44.2,山西省
201506,1580.4339,12.8,152.5719,37.3,69.5149,-26.0,山西省
201507,1611.5632,2.5,180.5955,-33.8,80.7983,-17.3,山西省
201508,1672.1636,3.4,247.7471,-19.9,93.3482,-6.4,山西省
201509,1755.7379,4.7,297.5565,-18.0,116.0826,0.4,山西省
201510,1785.616,1.6,324.2545,-20.0,139.6324,7.0,山西省
201511,1883.3226,4.8,454.4888,3.6,161.5621,5.7,山西省
201512,1915.0722,2.3,484.909,0.2,242.2952,-6.0,山西省
201601,0.0,0.0,0.0,0.0,0.0,0.0,山西省
201602,1674.5542,21.0,30.5014,476.9,6.6253,254.4,山西省
201603,1706.8593,18.9,61.1842,84.3,30.1703,35.9,山西省
201604,1754.9603,22.7,109.6996,107.5,42.3236,54.2,山西省
201605,1797.0272,21.6,143.5006,58.4,65.369,60.3,山西省
201606,1855.8322,17.4,202.1046,32.5,86.5102,24.4,山西省
201607,1933.0087,19.9,276.9891,53.4,99.7631,23.5,山西省
201608,1971.3943,17.9,317.4531,28.1,104.6327,12.1,山西省
201609,2017.2012,14.9,356.6216,19.9,117.5708,1.3,山西省
201610,2066.627,15.7,407.3628,25.6,123.4414,-11.6,山西省
201611,2120.2432,12.6,458.9565,1.0,155.0835,-4.0,山西省
201612,2150.1258,12.3,494.2784,1.9,298.4187,23.2,山西省
201701,0.0,0.0,0.0,0.0,0.0,0.0,山西省
201702,1690.8646,1.0,4.4409,-85.4,5.0165,-24.3,山西省
201703,1710.2363,0.2,24.9415,-59.2,7.4509,-75.3,山西省
201704,1743.4273,-0.7,50.3515,-54.1,13.8583,-67.3,山西省
201705,1791.0542,-0.3,97.5548,-32.0,17.713,-72.9,山西省
201706,1838.44,-0.9,146.7892,-27.4,33.4873,-61.3,山西省
201707,1890.5941,-2.2,195.543,-29.4,65.3914,-34.5,山西省
201708,1918.1152,-2.7,222.6426,-29.9,78.5162,-25.0,山西省
201709,1935.1119,-4.1,247.4423,-30.6,103.2408,-12.2,山西省
201710,1966.5463,-4.8,279.0108,-31.5,129.9188,5.2,山西省
201711,2004.7442,-5.4,306.7274,-33.2,162.0093,4.5,山西省
201712,1979.8501,-7.9,329.29,-33.4,228.0312,-23.6,山西省
201801,0.0,0.0,0.0,0.0,0.0,0.0,山西省
201802,1553.3256,-8.1,2.2943,-48.3,10.6624,112.5,山西省
201803,1569.8497,-8.2,19.0591,-23.6,19.7985,165.7,山西省
201804,1588.1034,-8.9,47.9138,-4.8,20.9677,51.3,山西省
201805,1638.9568,-8.5,97.7411,0.2,21.4967,21.4,山西省
201806,1712.1951,-6.9,170.5915,16.2,26.1173,-22.0,山西省
201807,1740.4286,-7.9,196.7035,0.6,32.926,-49.6,山西省
201808,1761.9247,-8.1,216.1264,-2.9,36.8265,-53.1,山西省
201809,1793.9844,-7.3,248.5748,0.5,46.3377,-55.1,山西省
201810,1836.8756,-6.6,291.4197,4.4,66.3664,-48.9,山西省
201811,1850.0553,-7.7,304.9279,-0.6,83.6628,-48.4,山西省
201812,1856.5128,-6.2,318.8434,-3.2,127.4122,-44.1,山西省
200801,0.0,0.0,0.0,0.0,0.0,0.0,内蒙古自治区
200802,4.71,0.0,1.0,0.0,0.0,0.0,内蒙古自治区
200803,102.34,49.9,56.55,0.0,2.39,0.0,内蒙古自治区
200804,277.4,26.5,97.96,38.8,8.32,-18.1,内蒙古自治区
200805,452.07,35.8,156.52,6.9,20.7,17.1,内蒙古自治区
200806,596.36,41.6,269.34,25.4,25.34,23.0,内蒙古自治区
200807,642.39,32.7,306.26,13.4,34.4,40.9,内蒙古自治区
200808,699.59,29.6,363.73,20.0,46.02,63.1,内蒙古自治区
200809,754.26,29.9,412.51,23.0,57.81,38.5,内蒙古自治区
200810,786.15,28.0,436.02,17.5,69.99,26.7,内蒙古自治区
200811,806.99,30.1,453.91,20.3,99.58,0.4,内蒙古自治区
200812,811.32,26.5,457.3,15.2,175.57,-13.9,内蒙古自治区
200901,0.0,0.0,0.0,0.0,0.0,0.0,内蒙古自治区
200902,635.75,0.0,0.0,0.0,0.0,0.0,内蒙古自治区
200903,127.62,24.7,14.86,-73.7,0.0,0.0,内蒙古自治区
200904,393.69,41.9,132.43,35.2,12.7,52.5,内蒙古自治区
200905,624.62,38.2,236.53,51.1,17.93,-13.4,内蒙古自治区
200906,846.7,42.0,358.4,33.1,24.01,-5.3,内蒙古自治区
200907,948.37,47.6,406.87,32.8,40.98,19.1,内蒙古自治区
200908,1116.19,59.5,536.41,47.5,47.35,2.9,内蒙古自治区
200909,1181.32,56.6,594.21,44.0,72.41,25.2,内蒙古自治区
200910,1225.03,55.8,631.87,44.9,93.74,33.9,内蒙古自治区
200911,1254.72,55.5,731.99,61.3,157.36,58.0,内蒙古自治区
200912,1265.35,52.4,755.81,60.5,220.87,2.9,内蒙古自治区
201001,0.0,0.0,0.0,0.0,0.0,0.0,内蒙古自治区
201002,20.26,28.6,0.0,0.0,0.0,0.0,内蒙古自治区
201003,210.78,65.2,61.13,311.3,4.55,0.0,内蒙古自治区
201004,611.16,55.2,253.92,91.7,20.5,61.4,内蒙古自治区
201005,1011.39,61.9,645.81,173.0,34.68,93.4,内蒙古自治区
201006,1241.78,46.7,823.21,129.7,47.75,98.9,内蒙古自治区
201007,1416.13,49.3,644.05,58.3,57.25,39.7,内蒙古自治区
201008,1605.07,43.8,800.89,49.3,72.37,52.8,内蒙古自治区
201009,1789.49,51.5,950.49,60.0,98.89,36.6,内蒙古自治区
201010,1913.537,56.2,1025.1129,62.2,132.1492,41.0,内蒙古自治区
201011,1972.7476,57.2,1079.0076,47.4,189.089,20.2,内蒙古自治区
201012,2035.126,59.3,1101.4024,41.8,277.2542,22.7,内蒙古自治区
201101,0.0,0.0,0.0,0.0,0.0,0.0,内蒙古自治区
201102,30.494,50.5,0.0,0.0,0.0,0.0,内蒙古自治区
201103,393.0297,86.5,62.948,3.0,9.2334,103.0,内蒙古自治区
201104,1107.4493,81.2,244.6472,-3.7,20.1732,-1.6,内蒙古自治区
201105,1693.4685,67.4,493.3978,-23.6,33.0174,-4.8,内蒙古自治区
201106,2078.7333,67.4,792.2916,-3.8,72.0902,51.0,内蒙古自治区
201107,2348.2615,65.8,1007.9899,56.5,104.4826,82.5,内蒙古自治区
201108,2531.7751,57.7,1174.4887,46.6,127.621,76.3,内蒙古自治区
201109,2768.1668,54.7,1385.4726,45.8,175.782,77.8,内蒙古自治区
201110,3039.2497,58.8,1564.9715,52.7,238.7096,80.6,内蒙古自治区
201111,3052.5134,54.7,1579.2219,46.4,312.2383,65.1,内蒙古自治区
201112,3062.0014,51.0,1573.304,43.7,371.2608,20.9,内蒙古自治区
201201,0.0,0.0,0.0,0.0,0.0,0.0,内蒙古自治区
201202,2046.0237,0.0,1.9897,0.0,1.6753,0.0,内蒙古自治区
201203,1974.8268,402.5,80.0893,27.2,14.3417,55.3,内蒙古自治区
201204,1804.3998,62.9,180.8944,-26.1,45.0225,123.2,内蒙古自治区
201205,2176.3566,28.5,358.5918,-27.3,72.9684,121.0,内蒙古自治区
201206,2361.1555,13.6,472.0435,-40.4,95.2777,32.2,内蒙古自治区
201207,2574.9344,9.7,600.4581,-40.4,110.4807,5.7,内蒙古自治区
201208,2827.1847,11.7,841.2157,-28.4,132.9987,4.2,内蒙古自治区
201209,2904.2016,4.9,871.2144,-37.1,143.3796,-18.4,内蒙古自治区
201210,2976.3843,-2.1,930.8051,-40.5,194.018,-18.7,内蒙古自治区
201211,3006.7568,-1.5,952.5023,-39.7,240.3578,-23.0,内蒙古自治区
201212,3083.0456,3.5,977.6305,-35.1,403.6758,2.4,内蒙古自治区
201301,0.0,0.0,0.0,0.0,0.0,0.0,内蒙古自治区
201302,2356.7023,15.2,3.6809,85.0,11.0,0.0,内蒙古自治区
201303,2456.1749,24.4,74.9436,-6.4,13.6919,-4.5,内蒙古自治区
201304,2652.8605,47.0,144.1006,-20.3,39.0324,-13.3,内蒙古自治区
201305,2820.6697,29.6,260.9793,-27.2,61.5306,-15.7,内蒙古自治区
201306,2954.7801,25.1,382.22,-19.0,96.1695,0.9,内蒙古自治区
201307,3098.0546,20.3,506.2041,-15.7,128.6141,16.4,内蒙古自治区
201308,3178.9624,12.4,573.792,-31.8,159.3859,19.8,内蒙古自治区
201309,3308.5774,13.9,705.1047,-19.1,193.9526,35.3,内蒙古自治区
201310,3431.5217,15.3,827.8071,-11.1,258.453,33.2,内蒙古自治区
201311,3511.8889,16.8,871.3774,-8.5,327.1204,36.1,内蒙古自治区
201312,3496.1397,13.4,879.3001,-10.1,391.4285,-3.0,内蒙古自治区
201401,0.0,0.0,0.0,0.0,0.0,0.0,内蒙古自治区
201402,2833.9329,20.2,4.6943,27.5,2.5362,-76.9,内蒙古自治区
201403,2880.3418,17.3,39.2455,-47.6,13.3089,-2.8,内蒙古自治区
201404,3006.973,13.3,55.5948,-61.4,29.7008,-23.9,内蒙古自治区
201405,3064.0771,8.6,126.9654,-51.4,54.2176,-11.9,内蒙古自治区
201406,3179.4019,7.6,188.0883,-50.8,109.6232,14.0,内蒙古自治区
201407,3225.8812,4.1,239.2453,-52.7,127.2327,-1.1,内蒙古自治区
201408,3341.4637,5.1,311.7762,-45.7,142.9432,-10.3,内蒙古自治区
201409,3373.861,2.0,368.2652,-47.8,169.627,-12.5,内蒙古自治区
201410,3442.3481,0.3,436.8818,-47.2,238.0768,-7.9,内蒙古自治区
201411,3509.4539,-0.1,481.2436,-44.8,277.3634,-15.2,内蒙古自治区
201412,3478.3675,-0.5,483.479,-45.0,311.1258,-20.5,内蒙古自治区
201501,0.0,0.0,0.0,0.0,0.0,0.0,内蒙古自治区
201502,2884.6734,1.8,1.1582,-75.3,6.0311,137.8,内蒙古自治区
201503,2921.0162,1.4,20.1502,-48.7,11.4459,-14.0,内蒙古自治区
201504,2967.0317,-1.3,53.765,-3.3,20.1068,-32.3,内蒙古自治区
201505,2992.2149,-2.3,65.9995,-48.0,50.5709,-6.7,内蒙古自治区
201506,3083.7347,-3.0,151.3887,-19.5,75.8398,-30.8,内蒙古自治区
201507,3124.9609,-3.1,191.655,-19.9,88.0477,-30.8,内蒙古自治区
201508,3181.3353,-4.8,247.0798,-20.8,100.4793,-29.7,内蒙古自治区
201509,3249.6091,-3.7,304.9396,-17.2,130.2883,-23.2,内蒙古自治区
201510,3373.3883,-2.0,347.4204,-20.5,182.5214,-23.3,内蒙古自治区
201511,3517.0894,0.2,353.0642,-26.6,221.3736,-20.2,内蒙古自治区
201512,3522.0266,1.3,359.0889,-25.7,254.2729,-18.3,内蒙古自治区
201601,0.0,0.0,0.0,0.0,0.0,0.0,内蒙古自治区
201602,2947.9115,2.2,2.6671,130.3,15.695,160.2,内蒙古自治区
201603,2911.0535,-0.3,13.1662,-34.7,18.2604,59.5,内蒙古自治区
201604,2972.9999,0.2,48.1038,-10.5,23.1659,15.2,内蒙古自治区
201605,3022.8005,1.0,96.8953,46.8,60.0243,18.7,内蒙古自治区
201606,3080.542,-0.1,157.0776,3.8,84.5857,11.5,内蒙古自治区
201607,3156.08,1.0,233.0657,21.6,98.7463,12.2,内蒙古自治区
201608,3201.9621,0.6,287.7527,16.5,111.1682,10.6,内蒙古自治区
201609,3232.1626,-0.5,326.1532,7.0,123.4076,-5.3,内蒙古自治区
201610,3282.4385,-2.7,378.1262,8.8,191.7054,5.0,内蒙古自治区
201611,3293.0104,-6.4,388.7035,10.1,216.2481,-2.3,内蒙古自治区
201612,3295.8766,-6.4,525.0007,46.2,259.6849,2.1,内蒙古自治区
201701,0.0,0.0,0.0,0.0,0.0,0.0,内蒙古自治区
201702,2923.0777,-0.8,6.2098,132.8,11.5143,-26.6,内蒙古自治区
201703,2944.0995,1.1,16.4385,24.9,16.4585,-9.9,内蒙古自治区
201704,2865.8319,-3.6,36.4781,-24.2,25.0183,8.0,内蒙古自治区
201705,2903.6415,-3.9,74.2804,-23.3,29.0115,-51.7,内蒙古自治区
201706,2952.1148,-4.2,133.9079,-14.8,62.7539,-25.8,内蒙古自治区
201707,3023.7386,-4.2,201.9859,-13.3,80.4734,-18.5,内蒙古自治区
201708,3070.3448,-4.1,236.3295,-17.9,99.8457,-10.2,内蒙古自治区
201709,3120.9225,-3.4,271.3016,-16.8,144.2215,16.9,内蒙古自治区
201710,3167.7765,-3.5,317.4661,-16.0,201.9277,5.3,内蒙古自治区
201711,3192.5375,-3.1,336.9449,-13.3,235.7839,9.0,内蒙古自治区
201712,3074.6219,-6.7,333.7544,-36.4,252.5435,-2.8,内蒙古自治区
201801,0.0,0.0,0.0,0.0,0.0,0.0,内蒙古自治区
201802,2571.8546,-12.0,0.5552,-91.1,5.4836,-52.4,内蒙古自治区
201803,2450.5585,-16.8,7.1623,-56.4,24.0739,46.3,内蒙古自治区
201804,2464.2887,-14.0,31.2451,-14.3,52.3243,109.1,内蒙古自治区
201805,2508.9267,-13.6,77.4951,4.3,65.2862,125.0,内蒙古自治区
201806,2619.2468,-11.3,188.3953,40.7,98.5264,57.0,内蒙古自治区
201807,2731.757,-9.7,300.0477,48.5,117.9692,46.6,内蒙古自治区
201808,2774.4042,-9.6,333.5794,41.2,136.149,36.4,内蒙古自治区
201809,2836.4096,-9.1,394.9467,45.6,147.0522,2.0,内蒙古自治区
201810,2866.0616,-9.5,423.9902,33.6,158.989,-21.3,内蒙古自治区
201811,2887.3528,-9.6,444.3089,31.9,169.5953,-28.1,内蒙古自治区
201812,2862.8904,-6.9,462.1883,38.5,220.4102,-12.7,内蒙古自治区
200801,0.0,0.0,0.0,0.0,0.0,0.0,辽宁省
200802,240.37,132.3,7.14,-34.8,4.04,318.4,辽宁省
200803,713.31,91.6,83.49,56.6,16.65,0.0,辽宁省
200804,1050.67,48.7,180.0,19.2,46.89,376.1,辽宁省
200805,1277.49,46.6,246.08,17.1,58.22,161.8,辽宁省
200806,1500.6,52.0,382.58,27.5,68.6,170.6,辽宁省
200807,1661.77,39.9,424.77,0.6,78.13,137.0,辽宁省
200808,1673.14,33.2,463.32,-0.4,87.39,107.1,辽宁省
200809,1715.09,28.3,527.83,-3.3,100.85,104.8,辽宁省
200810,1772.47,27.1,594.94,-3.8,129.38,105.8,辽宁省
200811,1838.58,28.0,631.21,-4.2,149.69,70.8,辽宁省
200812,1982.33,35.9,758.03,14.0,320.99,20.0,辽宁省
200901,0.0,0.0,0.0,0.0,0.0,0.0,辽宁省
200902,559.21,132.6,131.92,0.0,10.15,151.3,辽宁省
200903,1072.6,50.4,216.15,158.9,17.22,3.4,辽宁省
200904,1376.27,31.0,295.7,64.3,26.87,-42.7,辽宁省
200905,1622.85,27.0,367.96,49.5,44.62,-23.4,辽宁省
200906,2020.83,34.7,575.03,50.3,88.14,28.5,辽宁省
200907,2113.33,27.2,633.61,49.2,110.05,40.9,辽宁省
200908,2205.47,31.8,705.12,52.2,141.94,62.4,辽宁省
200909,2380.84,38.8,869.07,64.6,154.44,53.1,辽宁省
200910,2449.39,38.2,932.44,56.7,182.85,41.3,辽宁省
200911,2501.78,36.1,997.86,58.1,218.1,45.7,辽宁省
200912,2650.11,31.1,1128.91,45.2,435.86,22.0,辽宁省
201001,0.0,0.0,0.0,0.0,0.0,0.0,辽宁省
201002,2131.44,35.9,41.2,-68.8,20.07,97.7,辽宁省
201003,2224.4,107.4,217.61,0.7,58.15,237.7,辽宁省
201004,2546.36,85.0,448.75,51.8,64.76,141.0,辽宁省
201005,2794.24,72.2,692.98,88.3,118.19,164.9,辽宁省
201006,3062.36,51.5,1019.92,77.4,139.84,58.7,辽宁省
201007,3218.14,52.3,1137.5,79.5,173.6,57.8,辽宁省
201008,3322.98,50.7,1204.05,70.8,191.33,34.8,辽宁省
201009,3460.08,45.3,1371.34,57.8,203.87,32.0,辽宁省
201010,3693.8604,50.8,1531.2299,64.2,240.1417,31.3,辽宁省
201011,3845.4959,53.7,1748.7979,75.3,300.8469,37.9,辽宁省
201012,3954.6187,49.0,1838.6723,63.0,535.7225,21.9,辽宁省
201101,0.0,0.0,0.0,0.0,0.0,0.0,辽宁省
201102,3370.084,58.1,48.2779,17.2,29.8931,48.9,辽宁省
201103,3567.8271,60.4,229.5481,5.5,56.1343,-3.5,辽宁省
201104,3727.9127,46.4,392.3693,-12.6,74.7136,15.4,辽宁省
201105,3908.5719,39.9,581.482,-16.1,90.0591,-23.8,辽宁省
201106,4121.919,34.6,750.9268,-26.4,177.2423,26.7,辽宁省
201107,4335.6239,34.7,925.1041,-18.7,197.613,13.8,辽宁省
201108,4668.7756,40.5,1231.7305,2.3,244.649,27.9,辽宁省
201109,4746.0465,37.2,1266.349,-7.7,326.8081,60.3,辽宁省
201110,4901.588,32.7,1404.0477,-8.3,396.3748,65.1,辽宁省
201111,5041.8714,31.1,1555.336,-11.1,494.1909,64.3,辽宁省
201112,5028.9925,27.2,1577.01,-14.1,720.1036,33.7,辽宁省
201201,0.0,0.0,0.0,0.0,0.0,0.0,辽宁省
201202,3953.4273,17.3,31.6676,-34.4,32.656,9.2,辽宁省
201203,4037.9795,13.2,237.9253,3.6,78.0664,39.1,辽宁省
201204,4210.6719,12.9,377.9532,-3.7,126.4738,69.3,辽宁省
201205,4447.482,13.8,698.2813,20.1,156.7112,74.0,辽宁省
201206,4866.4502,18.1,1107.68,47.5,200.4446,13.1,辽宁省
201207,5068.6704,16.9,1290.8697,39.5,237.5564,20.2,辽宁省
201208,5321.5132,14.0,1514.5951,23.0,296.0254,21.0,辽宁省
201209,5455.2062,14.9,1661.4284,31.2,327.9202,0.3,辽宁省
201210,5587.2814,14.0,1793.1849,27.7,433.733,9.4,辽宁省
201211,5668.8257,12.4,1856.6216,19.4,510.2571,3.3,辽宁省
201212,5698.5773,14.5,1922.6289,21.6,762.0691,5.6,辽宁省
201301,0.0,0.0,0.0,0.0,0.0,0.0,辽宁省
201302,4250.2879,7.5,88.9803,181.0,15.1838,-53.5,辽宁省
201303,4532.6869,12.3,236.6661,-0.5,74.846,-4.1,辽宁省
201304,4685.8548,11.3,369.6309,-2.2,109.4633,-13.4,辽宁省
201305,4992.9002,12.3,689.9965,-1.2,155.7786,-0.6,辽宁省
201306,5425.9589,11.5,1093.4481,-1.3,211.6098,5.6,辽宁省
201307,5562.6488,9.7,1236.8225,-4.2,272.0742,14.5,辽宁省
201308,5710.4041,7.3,1387.7139,-8.4,325.1601,9.8,辽宁省
201309,5898.0705,8.1,1584.3684,-4.6,389.7442,18.9,辽宁省
201310,5978.3165,7.0,1663.9562,-7.2,435.0043,0.3,辽宁省
201311,6252.7166,10.3,1943.5648,4.7,520.6429,2.0,辽宁省
201312,6230.2769,9.3,1965.4992,2.2,716.0794,-6.0,辽宁省
201401,0.0,0.0,0.0,0.0,0.0,0.0,辽宁省
201402,4816.4054,13.3,107.2585,20.5,34.5604,127.6,辽宁省
201403,4958.1251,9.4,235.0337,-0.7,90.6992,21.2,辽宁省
201404,5094.0632,8.7,346.4837,-6.3,117.8881,7.7,辽宁省
201405,5237.7152,4.9,483.2277,-30.0,151.0847,-3.0,辽宁省
201406,5428.4483,0.0,608.9254,-44.3,246.6374,16.6,辽宁省
201407,5534.2621,-0.5,713.2423,-42.3,277.5762,2.0,辽宁省
201408,5735.7364,0.4,898.5794,-35.2,363.3502,11.7,辽宁省
201409,5896.5258,0.0,1051.8057,-33.6,408.87,4.9,辽宁省
201410,6049.6828,1.2,1192.4876,-28.3,481.9598,10.8,辽宁省
201411,6101.9728,-2.4,1242.5596,-36.1,567.434,9.0,辽宁省
201412,6095.7863,-2.2,1267.5478,-35.5,741.1435,3.5,辽宁省
201501,0.0,0.0,0.0,0.0,0.0,0.0,辽宁省
201502,4140.999,-14.0,51.6446,-51.9,23.6707,-31.5,辽宁省
