月份,施工项目项目个数_累计值,施工项目项目个数_累计增减额,新开工项目项目个数_累计值,新开工项目项目个数_累计增减额,地区
201805,0,0,0,0,吉林省
201806,0,0,0,0,吉林省
201807,0,0,0,0,吉林省
201808,0,0,0,0,吉林省
201809,0,0,0,0,吉林省
201810,0,0,0,0,吉林省
201811,0,0,0,0,吉林省
201812,0,0,0,0,吉林省
200801,0,0,0,0,黑龙江省
200802,82,-6,10,-3,黑龙江省
200803,325,54,146,55,黑龙江省
200804,793,190,362,118,黑龙江省
200805,1619,310,961,264,黑龙江省
200806,3139,494,2244,422,黑龙江省
200807,3790,398,2832,348,黑龙江省
200808,4492,625,3494,569,黑龙江省
200809,5057,575,4014,508,黑龙江省
200810,5655,205,4565,242,黑龙江省
200811,6365,-20,5232,2,黑龙江省
200812,7715,992,6390,902,黑龙江省
200901,0,0,0,0,黑龙江省
200902,301,219,185,175,黑龙江省
200903,562,237,336,190,黑龙江省
200904,1131,338,679,317,黑龙江省
200905,2373,754,1593,632,黑龙江省
200906,4574,1435,3446,1202,黑龙江省
200907,5275,1485,4090,1258,黑龙江省
200908,6215,1723,5029,1535,黑龙江省
200909,7363,2306,6175,2161,黑龙江省
200910,8415,2760,7225,2660,黑龙江省
200911,9171,2806,7965,2733,黑龙江省
200912,10456,2810,9012,2595,黑龙江省
201001,0,0,0,0,黑龙江省
201002,118,-183,15,-170,黑龙江省
201003,524,-38,232,-104,黑龙江省
201004,1180,49,610,-69,黑龙江省
201005,2358,-15,1451,-142,黑龙江省
201006,4977,403,3794,348,黑龙江省
201007,5791,516,4508,418,黑龙江省
201008,5810,-405,4518,-511,黑龙江省
201009,6459,-904,5062,-1113,黑龙江省
201010,7496,-919,6068,-1157,黑龙江省
201011,8518,-653,7056,-909,黑龙江省
201012,10168,-272,8592,-403,黑龙江省
201101,0,0,0,0,黑龙江省
201102,46,-82,6,-13,黑龙江省
201103,346,-197,124,-155,黑龙江省
201104,778,-270,352,-158,黑龙江省
201105,1747,-194,862,-276,黑龙江省
201106,3574,350,2357,138,黑龙江省
201107,4602,817,3277,564,黑龙江省
201108,5444,1017,4065,737,黑龙江省
201109,6460,1325,4999,1008,黑龙江省
201110,7386,1713,5884,1389,黑龙江省
201111,8093,1832,6551,1503,黑龙江省
201112,8844,1783,7191,1405,黑龙江省
201201,0,0,0,0,黑龙江省
201202,166,120,39,33,黑龙江省
201203,816,470,278,154,黑龙江省
201204,1607,829,644,292,黑龙江省
201205,2958,1211,1539,677,黑龙江省
201206,4758,1184,2974,617,黑龙江省
201207,6089,1487,4170,893,黑龙江省
201208,7247,1803,5250,1185,黑龙江省
201209,8659,2199,6562,1563,黑龙江省
201210,10102,2716,7920,2036,黑龙江省
201211,11233,3140,9011,2460,黑龙江省
201212,12109,3388,9710,2614,黑龙江省
201301,0,0,0,0,黑龙江省
201302,154,-12,36,-3,黑龙江省
201303,808,-8,260,-18,黑龙江省
201304,1856,249,743,99,黑龙江省
201305,3602,644,1842,303,黑龙江省
201306,6188,1430,3797,823,黑龙江省
201307,7952,1863,5348,1178,黑龙江省
201308,9362,2115,6651,1401,黑龙江省
201309,11201,2542,8393,1831,黑龙江省
201310,13431,3329,10519,2599,黑龙江省
201311,14800,3567,11853,2842,黑龙江省
201312,16351,4242,13345,3635,黑龙江省
201401,0,0,0,0,黑龙江省
201402,103,-51,3,-33,黑龙江省
201403,556,-252,58,-202,黑龙江省
201404,1336,-520,227,-516,黑龙江省
201405,2460,-1142,698,-1144,黑龙江省
201406,4606,-1582,2025,-1772,黑龙江省
201407,5893,-2059,3111,-2237,黑龙江省
201408,7313,-2049,4470,-2181,黑龙江省
201409,9055,-1752,6146,-1916,黑龙江省
201410,10209,-2084,7208,-2317,黑龙江省
201411,11885,-1645,8746,-1977,黑龙江省
201412,0,0,0,0,黑龙江省
201501,0,0,0,0,黑龙江省
201502,77,-26,2,-1,黑龙江省
201503,577,21,107,49,黑龙江省
201504,1355,19,333,106,黑龙江省
201505,2582,122,979,281,黑龙江省
201506,5179,573,3075,1050,黑龙江省
201507,6885,992,4617,1506,黑龙江省
201508,8677,1364,6318,1848,黑龙江省
201509,10903,1848,8460,2314,黑龙江省
201510,13034,2825,10492,3284,黑龙江省
201511,14778,2893,12129,3383,黑龙江省
201512,16119,3255,13358,3686,黑龙江省
201601,0,0,0,0,黑龙江省
201602,161,84,8,6,黑龙江省
201603,830,253,253,146,黑龙江省
201604,2119,764,1031,698,黑龙江省
201605,4045,1463,2566,1587,黑龙江省
201606,7240,2061,5384,2309,黑龙江省
201607,9124,2239,7101,2484,黑龙江省
201608,11062,2385,8920,2602,黑龙江省
201609,13482,2579,11248,2788,黑龙江省
201610,16015,2981,13713,3221,黑龙江省
201611,17789,3011,15437,3308,黑龙江省
201612,19149,3030,16743,3386,黑龙江省
201701,0,0,0,0,黑龙江省
201702,168,7,8,0,黑龙江省
201703,936,106,246,-7,黑龙江省
201704,2295,176,930,-101,黑龙江省
201705,4438,393,2349,-217,黑龙江省
201706,8448,1208,5750,366,黑龙江省
201707,10874,1750,7831,730,黑龙江省
201708,13082,2020,9869,949,黑龙江省
201709,15909,2427,12600,1352,黑龙江省
201710,18183,2168,14803,1090,黑龙江省
201711,19787,1998,16329,892,黑龙江省
201712,21069,1920,17557,814,黑龙江省
201801,0,0,0,0,黑龙江省
201802,0,0,0,0,黑龙江省
201803,0,0,0,0,黑龙江省
201804,0,0,0,0,黑龙江省
201805,0,0,0,0,黑龙江省
201806,0,0,0,0,黑龙江省
201807,0,0,0,0,黑龙江省
201808,0,0,0,0,黑龙江省
201809,0,0,0,0,黑龙江省
201810,0,0,0,0,黑龙江省
201811,0,0,0,0,黑龙江省
201812,0,0,0,0,黑龙江省
200801,0,0,0,0,上海市
200802,2868,1854,2008,1929,上海市
200803,3148,1861,2132,1958,上海市
200804,3441,1914,2317,2025,上海市
200805,3705,1838,2503,1972,上海市
200806,3924,1804,2653,1931,上海市
200807,4232,1880,2914,2039,上海市
200808,4418,1935,3073,2107,上海市
200809,4594,1869,3222,2043,上海市
200810,4803,1888,3425,2081,上海市
200811,5137,1910,3726,2106,上海市
200812,5237,1373,3817,2080,上海市
200901,0,0,0,0,上海市
200902,1941,-927,106,-1902,上海市
200903,2798,-350,258,-1874,上海市
200904,4033,592,1393,-924,上海市
200905,4327,622,1589,-914,上海市
200906,4671,747,1810,-843,上海市
200907,4981,749,1944,-970,上海市
200908,5549,1131,2258,-815,上海市
200909,6328,1734,2770,-452,上海市
200910,6716,1913,2952,-473,上海市
200911,7013,1876,3107,-619,上海市
200912,8936,3699,4143,326,上海市
201001,0,0,0,0,上海市
201002,3151,1210,200,94,上海市
201003,4558,1760,1352,1094,上海市
201004,4772,739,1489,96,上海市
201005,5003,676,1615,26,上海市
201006,5460,789,1996,186,上海市
201007,5717,736,2188,244,上海市
201008,5901,352,2302,44,上海市
201009,6828,500,2765,-5,上海市
201010,6954,238,2802,-150,上海市
201011,6972,-41,2777,-330,上海市
201012,8485,-412,3808,-333,上海市
201101,0,0,0,0,上海市
201102,1480,-1912,219,-7,上海市
201103,1849,-3030,400,-1027,上海市
201104,2125,-3036,577,-1015,上海市
201105,2333,-3096,717,-1050,上海市
201106,2654,-3176,957,-1125,上海市
201107,2845,-3275,1109,-1193,上海市
201108,3017,-3302,1259,-1170,上海市
201109,3297,-3954,1494,-1405,上海市
201110,3532,-3833,1702,-1091,上海市
201111,3815,-3667,1945,-1053,上海市
201112,4242,-4733,2301,-1711,上海市
201201,0,0,0,0,上海市
201202,1482,2,166,-53,上海市
201203,1865,16,327,-73,上海市
201204,2080,-45,443,-134,上海市
201205,2318,-15,600,-117,上海市
201206,2572,-82,779,-178,上海市
201207,2738,-107,909,-200,上海市
201208,2928,-89,1073,-186,上海市
201209,3147,-150,1267,-227,上海市
201210,3413,-119,1462,-240,上海市
201211,3705,-110,1710,-235,上海市
201212,4145,-155,2087,-213,上海市
201301,0,0,0,0,上海市
201302,1610,128,232,66,上海市
201303,1956,91,365,38,上海市
201304,2206,126,493,50,上海市
201305,2429,111,644,44,上海市
201306,2621,49,791,12,上海市
201307,2799,61,937,28,上海市
201308,2985,57,1095,22,上海市
201309,3190,43,1266,-1,上海市
201310,3395,-18,1438,-24,上海市
201311,3658,-47,1676,-34,上海市
201312,4074,-155,2041,-100,上海市
201401,0,0,0,0,上海市
201402,1533,-77,129,-103,上海市
201403,1938,-18,260,-105,上海市
201404,2172,-34,392,-101,上海市
201405,2352,-77,521,-123,上海市
201406,2606,-15,704,-87,上海市
201407,2718,-81,792,-145,上海市
201408,2882,-103,926,-169,上海市
201409,3096,-94,1045,-221,上海市
201410,3290,-105,1208,-230,上海市
201411,3496,-162,1378,-298,上海市
201412,0,0,0,0,上海市
201501,0,0,0,0,上海市
201502,1299,-234,106,-23,上海市
201503,1592,-346,211,-49,上海市
201504,1918,-254,360,-32,上海市
201505,2062,-290,445,-76,上海市
201506,2239,-367,552,-152,上海市
201507,2346,-372,625,-167,上海市
201508,2465,-417,710,-216,上海市
201509,2604,-492,816,-229,上海市
201510,2772,-518,956,-252,上海市
201511,2981,-515,1121,-257,上海市
201512,3314,-568,1404,-304,上海市
201601,0,0,0,0,上海市
201602,1010,-289,53,-53,上海市
201603,1282,-310,144,-67,上海市
201604,1502,-416,255,-105,上海市
201605,1682,-380,347,-98,上海市
201606,1833,-406,423,-129,上海市
201607,2005,-341,542,-83,上海市
201608,2154,-311,648,-62,上海市
201609,2334,-270,782,-34,上海市
201610,2517,-255,985,29,上海市
201611,2729,-252,1173,52,上海市
201612,3112,-202,1536,132,上海市
201701,0,0,0,0,上海市
201702,1247,237,26,-27,上海市
201703,1505,223,73,-71,上海市
201704,1752,250,199,-56,上海市
201705,2012,330,366,19,上海市
201706,2192,359,461,38,上海市
201707,2369,364,597,55,上海市
201708,2601,447,788,140,上海市
201709,2797,463,947,165,上海市
201710,3049,532,1156,171,上海市
201711,3552,823,1579,406,上海市
201712,3907,795,1840,304,上海市
201801,0,0,0,0,上海市
201802,0,0,0,0,上海市
201803,0,0,0,0,上海市
201804,0,0,0,0,上海市
201805,0,0,0,0,上海市
201806,0,0,0,0,上海市
201807,0,0,0,0,上海市
201808,0,0,0,0,上海市
201809,0,0,0,0,上海市
201810,0,0,0,0,上海市
201811,0,0,0,0,上海市
201812,0,0,0,0,上海市
200801,0,0,0,0,江苏省
200802,6492,570,1375,-23,江苏省
200803,8196,274,2655,-269,江苏省
200804,9041,-125,3382,-539,江苏省
200805,9656,-249,3997,-653,江苏省
200806,10499,-144,4834,-545,江苏省
200807,11704,-38,5773,-624,江苏省
200808,12632,488,6592,-179,江苏省
200809,13454,439,7339,-221,江苏省
200810,14287,625,8105,-99,江苏省
200811,15174,1033,8952,273,江苏省
200812,15843,869,9591,47,江苏省
200901,0,0,0,0,江苏省
200902,7462,970,1891,516,江苏省
200903,9135,939,3266,611,江苏省
200904,10448,1407,4305,923,江苏省
200905,11410,1754,5194,1197,江苏省
200906,12410,1911,6193,1359,江苏省
200907,14002,2298,7597,1824,江苏省
200908,14970,2338,8439,1847,江苏省
200909,15927,2473,9393,2054,江苏省
200910,17302,3015,10737,2632,江苏省
200911,18500,3326,11814,2862,江苏省
200912,20234,4341,13381,3768,江苏省
201001,0,0,0,0,江苏省
201002,8782,1320,2092,201,江苏省
201003,10942,1807,4252,986,江苏省
201004,12586,2138,5790,1485,江苏省
201005,17466,6056,6489,1295,江苏省
201006,18291,5881,7314,1121,江苏省
201007,20087,6085,9110,1513,江苏省
201008,21210,6240,10228,1789,江苏省
201009,21986,6059,10997,1604,江苏省
201010,23307,6005,12318,1581,江苏省
201011,24376,5876,13387,1573,江苏省
201012,25124,4901,14135,737,江苏省
201101,0,0,0,0,江苏省
201102,12674,-1983,3774,-947,江苏省
201103,17189,-1764,7580,-1731,江苏省
201104,20301,-2185,10222,-2384,江苏省
201105,23137,-1316,12784,-1971,江苏省
201106,25352,35,14715,-1148,江苏省
201107,27995,-880,17285,-1819,江苏省
201108,29879,-1579,19019,-2431,江苏省
201109,31714,-880,20842,-1698,江苏省
201110,33942,-1390,23066,-2070,江苏省
201111,35917,-1056,25041,-1715,江苏省
201112,37529,700,26619,-165,江苏省
201201,0,0,0,0,江苏省
201202,14794,2120,4413,639,江苏省
201203,19111,1922,8730,1150,江苏省
201204,22063,1762,11682,1460,江苏省
201205,24716,1579,14333,1549,江苏省
201206,26869,1517,16486,1771,江苏省
201207,29288,1293,18904,1619,江苏省
201208,30962,1083,20566,1547,江苏省
201209,33438,1724,23023,2181,江苏省
201210,35827,1885,25407,2341,江苏省
201211,38088,2171,27660,2619,江苏省
201212,40085,3111,29657,3270,江苏省
201301,0,0,0,0,江苏省
201302,15838,1044,5864,1451,江苏省
201303,20536,1425,10562,1832,江苏省
201304,23553,1490,13579,1897,江苏省
201305,26354,1638,16380,2047,江苏省
201306,27910,1041,17936,1450,江苏省
201307,30528,1240,20554,1650,江苏省
201308,32481,1519,22507,1941,江苏省
201309,35046,1608,25072,2049,江苏省
201310,38884,3057,28910,3503,江苏省
201311,40859,2771,30885,3225,江苏省
201312,42704,12639,32730,11060,江苏省
201401,0,0,0,0,江苏省
201402,15767,-71,6362,498,江苏省
201403,20334,-202,10929,367,江苏省
201404,23386,-167,13981,402,江苏省
201405,26256,-98,16851,471,江苏省
201406,27979,69,18574,638,江苏省
201407,30843,315,21438,884,江苏省
201408,34124,1643,24719,2212,江苏省
201409,37293,2247,27888,2816,江苏省
201410,40808,1924,31403,2493,江苏省
201411,43591,2732,34186,3301,江苏省
201412,0,0,0,0,江苏省
201501,0,0,0,0,江苏省
201502,15329,-438,6800,438,江苏省
201503,21095,761,12566,1637,江苏省
201504,24686,1300,16157,2176,江苏省
201505,28152,1896,19623,2772,江苏省
201506,30622,2643,22093,3519,江苏省
201507,32929,2086,25168,3730,江苏省
201508,36133,2009,28352,3633,江苏省
201509,40875,3582,33094,5206,江苏省
201510,45872,5064,37972,6569,江苏省
201511,50038,6447,42103,7917,江苏省
201512,52863,8414,44888,9105,江苏省
201601,0,0,0,0,江苏省
201602,17935,2606,9336,2536,江苏省
201603,23711,2616,14718,2152,江苏省
201604,29342,4656,19871,3714,江苏省
201605,33450,5298,23631,4008,江苏省
201606,35199,4577,25380,3287,江苏省
201607,40621,7692,30649,5481,江苏省
201608,44126,7993,34077,5725,江苏省
201609,47526,6651,37439,4345,江苏省
201610,52482,6610,42294,4322,江苏省
201611,56789,6751,46526,4423,江苏省
201612,60525,7662,50197,5309,江苏省
201701,0,0,0,0,江苏省
201702,20012,2077,7939,-1397,江苏省
201703,26007,2296,13183,-1535,江苏省
201704,31209,1867,17814,-2057,江苏省
201705,36853,3403,22988,-643,江苏省
201706,38761,3562,24806,-574,江苏省
201707,45512,4891,31410,761,江苏省
201708,49672,5546,35472,1395,江苏省
201709,53891,6365,39691,2252,江苏省
201710,61275,8793,46762,4468,江苏省
201711,66805,10016,52178,5652,江苏省
201712,70675,10150,55979,5782,江苏省
201801,0,0,0,0,江苏省
201802,0,0,0,0,江苏省
201803,0,0,0,0,江苏省
201804,0,0,0,0,江苏省
201805,0,0,0,0,江苏省
201806,0,0,0,0,江苏省
201807,0,0,0,0,江苏省
201808,0,0,0,0,江苏省
201809,0,0,0,0,江苏省
201810,0,0,0,0,江苏省
201811,0,0,0,0,江苏省
201812,0,0,0,0,江苏省
200801,0,0,0,0,浙江省
200802,6659,996,466,28,浙江省
200803,7978,839,1082,-167,浙江省
200804,8819,682,1653,-211,浙江省
200805,9721,748,2328,-170,浙江省
200806,10705,640,3134,-234,浙江省
200807,11358,571,3692,-273,浙江省
200808,11988,606,4302,-201,浙江省
200809,12654,407,4922,-335,浙江省
200810,13343,329,5579,-316,浙江省
200811,13937,68,6149,-518,浙江省
200812,15161,138,7292,-367,浙江省
200901,0,0,0,0,浙江省
200902,5952,-707,714,248,浙江省
200903,7521,-457,1606,524,浙江省
200904,8495,-324,2218,565,浙江省
200905,9569,-152,3026,698,浙江省
200906,10797,92,4022,888,浙江省
200907,11594,236,4693,1001,浙江省
200908,12312,324,5296,994,浙江省
200909,13247,593,6143,1221,浙江省
200910,14118,775,6930,1351,浙江省
200911,15046,1109,7789,1640,浙江省
200912,16172,766,8752,1214,浙江省
201001,0,0,0,0,浙江省
201002,6456,504,984,270,浙江省
201003,7841,320,1814,208,浙江省
201004,8898,403,2545,327,浙江省
201005,9851,282,3296,270,浙江省
201006,10981,184,4275,253,浙江省
201007,11737,143,4908,215,浙江省
201008,12540,228,5627,331,浙江省
201009,13643,396,6566,423,浙江省
201010,14583,465,7441,511,浙江省
201011,15602,556,8393,604,浙江省
201012,16493,263,9104,292,浙江省
201101,0,0,0,0,浙江省
201102,10927,303,1472,-208,浙江省
201103,14709,1020,3719,189,浙江省
201104,17202,1263,5538,343,浙江省
201105,18700,755,6757,-67,浙江省
201106,21476,1148,9099,203,浙江省
201107,23072,1407,10484,433,浙江省
201108,24754,1611,12022,641,浙江省
201109,26539,1470,13621,590,浙江省
201110,28480,1861,15442,975,浙江省
201111,29891,1596,16751,706,浙江省
201112,31125,1800,17859,938,浙江省
201201,0,0,0,0,浙江省
201202,10941,14,1586,114,浙江省
201203,15250,541,4218,499,浙江省
201204,18147,945,6384,846,浙江省
201205,21026,2326,8769,2012,浙江省
201206,24958,3482,12186,3087,浙江省
201207,26940,3868,14024,3540,浙江省
201208,29105,4351,15961,3939,浙江省
201209,31399,4860,18082,4461,浙江省
201210,33494,5014,20027,4585,浙江省
201211,35259,5368,21701,4950,浙江省
201212,36727,7385,22946,6591,浙江省
201301,0,0,0,0,浙江省
201302,13133,2192,2240,654,浙江省
201303,18760,3510,5702,1484,浙江省
201304,22144,3997,8247,1863,浙江省
201305,25380,4354,10952,2183,浙江省
201306,29265,4307,14393,2207,浙江省
201307,31273,4333,16225,2201,浙江省
201308,33119,4014,17962,2001,浙江省
201309,35776,4377,20437,2355,浙江省
201310,37936,4442,22488,2461,浙江省
201311,40041,4782,24466,2765,浙江省
201312,41866,5173,26078,3150,浙江省
201401,0,0,0,0,浙江省
201402,13501,368,1983,-257,浙江省
201403,18982,222,5137,-565,浙江省
201404,22007,-137,7348,-899,浙江省
201405,25008,-372,9942,-1010,浙江省
201406,29412,147,13876,-517,浙江省
201407,32008,735,16228,3,浙江省
201408,34802,1683,18793,831,浙江省
201409,38129,2353,21872,1435,浙江省
201410,40848,2912,24452,1964,浙江省
201411,43598,3557,27038,2572,浙江省
201412,0,0,0,0,浙江省
201501,0,0,0,0,浙江省
201502,11924,-1577,1696,-287,浙江省
201503,17421,-1561,4844,-293,浙江省
201504,20530,-1477,7212,-136,浙江省
201505,23667,-1341,9879,-63,浙江省
201506,27831,-1581,13593,-283,浙江省
201507,30835,-1173,16312,84,浙江省
201508,33709,-1093,18982,189,浙江省
201509,37353,-776,22419,547,浙江省
201510,40711,-137,25606,1154,浙江省
201511,43842,244,28572,1534,浙江省
201512,45520,1458,30091,2440,浙江省
201601,0,0,0,0,浙江省
201602,13312,1388,3203,1507,浙江省
201603,19386,1965,7715,2871,浙江省
201604,23106,2576,10826,3614,浙江省
201605,27074,3407,14346,4467,浙江省
201606,33035,5204,19955,6362,浙江省
201607,35899,5064,22672,6360,浙江省
201608,39135,5426,25779,6797,浙江省
201609,42574,5221,29185,6766,浙江省
201610,44590,3879,31162,5556,浙江省
201611,47572,3730,34025,5453,浙江省
201612,50257,4737,36582,6491,浙江省
201701,0,0,0,0,浙江省
201702,14755,1443,2637,-566,浙江省
201703,20726,1340,6666,-1049,浙江省
201704,23707,601,9112,-1714,浙江省
201705,27367,293,12357,-1989,浙江省
201706,32650,-385,17231,-2724,浙江省
201707,35955,56,20390,-2282,浙江省
201708,38842,-293,23159,-2620,浙江省
201709,42197,-377,26388,-2797,浙江省
201710,45098,508,29180,-1982,浙江省
201711,48159,587,32162,-1863,浙江省
201712,50136,163,34086,-2300,浙江省
201801,0,0,0,0,浙江省
201802,0,0,0,0,浙江省
201803,0,0,0,0,浙江省
201804,0,0,0,0,浙江省
201805,0,0,0,0,浙江省
201806,0,0,0,0,浙江省
201807,0,0,0,0,浙江省
201808,0,0,0,0,浙江省
201809,0,0,0,0,浙江省
201810,0,0,0,0,浙江省
201811,0,0,0,0,浙江省
201812,0,0,0,0,浙江省
200801,0,0,0,0,安徽省
200802,4153,890,698,76,安徽省
200803,5563,595,1486,-156,安徽省
200804,8060,1717,3219,643,安徽省
200805,9650,2174,4474,943,安徽省
200806,11716,2694,6008,1194,安徽省
200807,13017,2757,7108,1356,安徽省
200808,14136,3027,8102,1567,安徽省
200809,15358,3107,9240,1616,安徽省
200810,16591,3256,10391,1754,安徽省
200811,17784,3261,11497,1711,安徽省
200812,20937,4594,13131,1853,安徽省
200901,0,0,0,0,安徽省
200902,5336,1183,1323,625,安徽省
200903,8258,2695,3135,1649,安徽省
200904,10636,2576,4968,1749,安徽省
200905,12819,3169,6824,2350,安徽省
200906,15508,3792,9253,3245,安徽省
200907,17138,4121,10805,3697,安徽省
200908,17412,3276,11042,2940,安徽省
200909,21917,6559,15410,6170,安徽省
200910,22535,5944,15887,5496,安徽省
200911,23329,5545,16047,4550,安徽省
200912,27658,7912,19908,6776,安徽省
201001,0,0,0,0,安徽省
201002,5216,-120,1778,455,安徽省
201003,9109,851,4218,1083,安徽省
201004,10688,52,5492,524,安徽省
201005,10884,-1935,5516,-1308,安徽省
201006,18579,3071,12228,2975,安徽省
201007,20237,3099,13768,2963,安徽省
201008,23722,6310,16094,5052,安徽省
201009,25049,3132,17249,1839,安徽省
201010,26924,4389,19020,3133,安徽省
201011,28130,4801,19314,3267,安徽省
201012,29456,6798,19508,3499,安徽省
201101,0,0,0,0,安徽省
201102,4959,-220,1637,-183,安徽省
201103,9962,-252,4832,-67,安徽省
201104,13130,847,7341,734,安徽省
201105,15335,1490,9426,1936,安徽省
201106,18170,-1281,11276,-1529,安徽省
201107,19958,-1946,12163,-1105,安徽省
201108,22092,1296,14259,2342,安徽省
201109,23640,-4585,15804,-3160,安徽省
201110,26077,-597,17520,-1885,安徽省
201111,27859,-2910,19036,-524,安徽省
201112,28714,-3991,19434,-1845,安徽省
201201,0,0,0,0,安徽省
201202,5783,824,1561,-76,安徽省
201203,9879,-83,4366,-466,安徽省
201204,12266,-864,6290,-1051,安徽省
201205,14995,-340,8753,-673,安徽省
201206,15906,-2264,9489,-1787,安徽省
201207,17491,-2467,10906,-1257,安徽省
201208,19046,-3046,12382,-1877,安徽省
201209,20844,-2796,14085,-1719,安徽省
201210,22172,-3905,15325,-2195,安徽省
201211,22575,-5284,15705,-3331,安徽省
201212,24918,182,17808,-1162,安徽省
201301,0,0,0,0,安徽省
201302,6468,685,1655,94,安徽省
201303,10739,860,4770,404,安徽省
201304,12868,602,6489,199,安徽省
201305,15377,382,8731,-22,安徽省
201306,16459,553,9668,179,安徽省
201307,18350,859,11531,625,安徽省
201308,20716,1670,13777,1395,安徽省
201309,22661,1817,15564,1479,安徽省
201310,23927,1755,16752,1427,安徽省
201311,24538,1963,17280,1575,安徽省
201312,27097,1910,19705,1629,安徽省
201401,0,0,0,0,安徽省
201402,7683,1215,2278,623,安徽省
201403,12037,1298,6441,1671,安徽省
201404,14325,1457,7555,1066,安徽省
201405,16356,979,9195,464,安徽省
201406,18273,1814,10931,1263,安徽省
201407,20187,1837,12725,1194,安徽省
201408,22475,1759,14893,1116,安徽省
201409,25244,2583,17576,2012,安徽省
201410,26111,2184,18385,1633,安徽省
201411,27626,3088,19776,2496,安徽省
201412,0,0,0,0,安徽省
201501,0,0,0,0,安徽省
201502,9010,1327,3574,163,安徽省
201503,13028,991,6418,-23,安徽省
201504,16830,2505,9238,1683,安徽省
201505,19777,3421,11682,2487,安徽省
201506,21481,3208,13382,2451,安徽省
201507,24343,4156,15882,3157,安徽省
201508,26366,3891,17782,2889,安徽省
201509,29447,4203,20860,3284,安徽省
201510,30761,4650,22174,3789,安徽省
201511,33083,5457,24396,4620,安徽省
201512,35449,5076,26482,4073,安徽省
201601,0,0,0,0,安徽省
201602,10797,1787,5120,1546,安徽省
201603,15316,2288,9027,2609,安徽省
201604,19007,2177,12089,2851,安徽省
201605,22105,2328,14903,3221,安徽省
201606,22927,1446,15644,2262,安徽省
201607,26316,1973,19006,3124,安徽省
201608,31678,5312,24300,6518,安徽省
201609,35548,6101,28091,7231,安徽省
201610,37482,6721,30007,7833,安徽省
201611,39159,6076,31705,7309,安徽省
201612,42281,6832,34738,6567,安徽省
201701,0,0,0,0,安徽省
201702,14329,3532,3946,-1174,安徽省
201703,20768,5452,9003,-24,安徽省
201704,24101,5094,11810,-279,安徽省
201705,26436,4331,13904,-999,安徽省
201706,28965,6038,16410,766,安徽省
201707,31737,5421,19160,154,安徽省
201708,34577,2899,21950,-2350,安徽省
201709,38487,2939,25772,-2319,安徽省
201710,40568,3086,27831,-2176,安徽省
201711,42268,3969,29504,-1347,安徽省
201712,44515,4040,31712,-1291,安徽省
201801,0,0,0,0,安徽省
201802,0,0,0,0,安徽省
201803,0,0,0,0,安徽省
201804,0,0,0,0,安徽省
201805,0,0,0,0,安徽省
201806,0,0,0,0,安徽省
201807,0,0,0,0,安徽省
201808,0,0,0,0,安徽省
201809,0,0,0,0,安徽省
201810,0,0,0,0,安徽省
201811,0,0,0,0,安徽省
201812,0,0,0,0,安徽省
200801,0,0,0,0,福建省
200802,3709,314,420,10,福建省
200803,5136,658,1080,168,福建省
200804,5861,365,1448,-80,福建省
200805,6632,274,1894,-329,福建省
200806,8315,1135,3265,407,福建省
200807,8447,728,3301,16,福建省
200808,8841,868,3689,150,福建省
200809,9355,987,4111,177,福建省
200810,9863,699,4547,-11,福建省
200811,10716,1012,5230,224,福建省
200812,11627,1006,6051,344,福建省
200901,0,0,0,0,福建省
200902,4316,607,814,394,福建省
200903,5596,460,1556,476,福建省
200904,6458,597,2020,572,福建省
200905,7203,571,2590,696,福建省
200906,8421,106,3572,307,福建省
200907,8875,428,3934,633,福建省
200908,9440,599,4406,717,福建省
200909,10031,676,4913,802,福建省
200910,10609,746,5431,884,福建省
200911,11261,545,6021,791,福建省
200912,11949,458,6620,569,福建省
201001,0,0,0,0,福建省
201002,3903,-413,705,-109,福建省
201003,5056,-540,1389,-167,福建省
201004,5744,-714,1824,-196,福建省
201005,6519,-684,2399,-191,福建省
201006,7621,-800,3225,-347,福建省
201007,8134,-741,3692,-242,福建省
201008,8740,-700,4228,-178,福建省
201009,9675,-356,5058,145,福建省
201010,10571,-38,5807,376,福建省
201011,11412,151,6590,569,福建省
201012,12646,709,7485,867,福建省
201101,0,0,0,0,福建省
201102,5223,631,1101,114,福建省
201103,7021,747,2161,65,福建省
201104,8694,1460,3337,558,福建省
201105,9788,1470,4218,589,福建省
201106,11436,1938,5618,1043,福建省
201107,12241,2055,6392,1177,福建省
201108,13235,2585,7298,1616,福建省
201109,14414,3162,8400,2168,福建省
201110,15684,3644,9566,2678,福建省
201111,16794,4139,10607,3168,福建省
201112,17267,4124,11096,3266,福建省
201201,0,0,0,0,福建省
201202,6486,1263,1180,79,福建省
201203,8123,1102,2610,449,福建省
201204,10663,1969,4374,1037,福建省
201205,12114,2326,5673,1455,福建省
201206,13381,1945,6940,1322,福建省
201207,14786,2545,8160,1768,福建省
201208,15824,2589,9168,1870,福建省
201209,17156,2742,10435,2035,福建省
201210,18269,2585,11542,1976,福建省
201211,19484,2690,12730,2123,福建省
201212,20126,2878,13372,2295,福建省
201301,0,0,0,0,福建省
201302,6711,225,1396,216,福建省
201303,9550,1427,3473,863,福建省
201304,11498,835,5167,793,福建省
201305,13466,1352,6921,1248,福建省
201306,15505,2124,8790,1850,福建省
201307,16483,1697,9727,1567,福建省
201308,17719,1895,10904,1736,福建省
